label,ComplementNB_pred,overall,summary,text_preview
Positive,Negative,5.0,This filter is effective but expensive for the amount of time it lasts when using it nightly.,"This filter is effective but expensive for the amount of time it lasts when using it nightly.. Because I have severely dry eyes, I need a humidifier in my bedro"
Negative,Neutral,2.0,Two Stars,Two Stars. Inner gear dimensions do not match factory specs.  Had to use old sprocket.
Positive,Negative,4.0,Exactly three inches in diameter,"Exactly three inches in diameter. This is the splashguard, baffle that fits Sinkmaster, Whirlaway, Waste King, and probably everything that uses the EZ-Mount sy"
Positive,Negative,5.0,DYI and Save,"DYI and Save. We were awakened during the night by squealing from our refrig/freezer.  Doing some troubleshooting, we discovered the evaporator fan was in troub"
Neutral,Negative,3.0,"Didn't solve my issue, but CS was good","Didn't solve my issue, but CS was good. It worked great at first. Was able to run a load, but than a few weeks later it started doing the same thing as before ("
Positive,Neutral,5.0,Five Stars,Five Stars. ToBe Utilized in Recently Purchased Small Freezer to Eliminate Frost Build-Up.
Neutral,Positive,3.0,So far so good.,So far so good.. Hopefully long term use will provide desired and advertised results. So far so good.
Positive,Negative,5.0,The ice maker in our freezer went haywire and started ...,The ice maker in our freezer went haywire and started .... The ice maker in our freezer went haywire and started producing ice non stop. I researched what compo
Positive,Neutral,4.0,"Works, but construction is cheap.","Works, but construction is cheap.. It works, but is built cheap, VERY cheap. It seems very flimsy, but it actually does seem to work at keeping the lint down. O"
Neutral,Negative,3.0,Disappointment not expected,Disappointment not expected. I received my new Maytag Centennial washer as a Christmas gift from our daughter. I was so excited to get a new washer with high ca
Positive,Negative,5.0,I am delighted with this washer,I am delighted with this washer. I am delighted with this washer. M only regret is that I did not purchase the larger model: one cubic foot is small!
Positive,Neutral,5.0,Slip it in place and it catches everything that used ...,Slip it in place and it catches everything that used .... Slip it in place and it catches everything that used to slip down the crack. Slip it out to clean it a
Positive,Neutral,5.0,No issues. I just wished it was little easier ...,No issues. I just wished it was little easier .... No issues.  I just wished it was little easier to remove the filter. I'm always fearful of breaking the rack 
Negative,Positive,1.0,Do not buy an appliance from Fisher Paykel,"Do not buy an appliance from Fisher Paykel. I spent a great deal of money on what I had been led to believe was a quality product, but I have had nothing but pr"
Positive,Neutral,5.0,"Fits all 8"" openings with hole in center","Fits all 8"" openings with hole in center. It fits; it collects oils; replacement much easier than trying to clean these things."
Positive,Negative,5.0,House Sold!,House Sold!. Recently sold a house and the buyer wanted the bulb replaced in the microwave before closing...ok...bought this bulb and installed...worked great..
Positive,Negative,5.0,Saved me so much money!,"Saved me so much money!. Our icemaker went out in our Whirlpool side-by-side refrigerator, and after months of avoiding dealing with it by buying ice every few "
Positive,Negative,5.0,Premium quality washer,Premium quality washer. Washers do not get any better than this. I bought it to replace a well worn over 20 yeah old Asko that has survived 3 children in cloth 
Neutral,Negative,3.0,Great machine if it didn't leak...,"Great machine if it didn't leak.... So far a good machine. However, the instructions are extremely lacking. First there was a plug in a package but there was no"
Positive,Neutral,5.0,"My to rack doesn't fall out any more, so ...","My to rack doesn't fall out any more, so .... My to rack doesn't fall out any more, so it works. This is actually an upgrade to the original rack brackets becau"
Positive,Negative,5.0,My garbage disposal had stopped working for a few days,"My garbage disposal had stopped working for a few days. My garbage disposal had stopped working for a few days, when I learned about these wrenches. I'm not sur"
Positive,Neutral,5.0,Great Gun Bag!,"Great Gun Bag!. This bag is a must for any gun enthusiast.  Besides having room for two guns, it will hold your ammo and targets, if paper, as well as your clea"
Neutral,Negative,3.0,Don't know how long this one will last,Don't know how long this one will last. It was a replacement for the last one I bought 1 year ago.
Positive,Negative,4.0,Shiny vs matted black finish,"Shiny vs matted black finish. Although the part number matched what my stove called for, the color is a shiny black. My stove has matted black grates. It'll hav"
Positive,Negative,5.0,Vornado Filters,Vornado Filters. I have used these filters for 6 years and have never had a problem.  In the winter in Oregon I keep the unit running 24 hours a day for about 5
Neutral,Negative,3.0,Good quality with some annoyances,"Good quality with some annoyances. Good quality, and an improvement over some earlier models. However, the front panel arrived with some minor denting on the bo"
Neutral,Positive,3.0,Good price compared to Lowes but you need to run ...,"Good price compared to Lowes but you need to run .... Good price compared to Lowes but you need to run several gallons through it before drinking the water, to "
Positive,Negative,5.0,it works like it's supposed to. and then some,"it works like it's supposed to. and then some. I didn't give it five stars simply because it takes forever to calibrate (updated to five later), you either hold"
Neutral,Negative,3.0,Not a bad basic range bag,"Not a bad basic range bag. I bought this as my first range bag. The 2 pouches for gun are awful in my opinion, the are super thin and the velcro is awful, I end"
Positive,Negative,4.0,The range hood has only been used for a week ...,"The range hood has only been used for a week .... The range hood has only been used for a week, one of the halogen lamp has dead.

This is an update on my 2 sta"
Positive,Negative,5.0,Worth buying!,Worth buying!. I spent hours shopping on line and in stores.  This has proven to be the best I could have hoped for!  For the money I spent it moves far more ai
Positive,Neutral,5.0,Important when replacing KitchenAid gears!,Important when replacing KitchenAid gears!. The thickness of this grease is important if ever you are faced with replacing a gear in your KitchenAid mixer.  Not
Positive,Negative,5.0,Likely Worked Well,Likely Worked Well. Since Im not sure if this solved my leaking dishwasher problem Im giving this a 5 since it likely worked well. I suspect there may have been
Neutral,Positive,3.0,Good product but installation is not easy.,Good product but installation is not easy.. The product seems to be sturdy and made of high quality material. It has two fans therefore it could be powerful and
Positive,Negative,4.0,Love it!,"Love it!. I finally got a roast that's not like leather with the auto cook temp probe.  However, the lid parts are cheap plastic.  after the second use, the han"
Positive,Negative,5.0,Probably should have purchased from a store,"Probably should have purchased from a store. Even though the box was pretty stout, mine still arrived bent approx 30 degrees.  Not a corner bend like many here "
Positive,Negative,5.0,Workhorse tank of cleanly perfection,"Workhorse tank of cleanly perfection. I am so glad this product exists. I am not interested in flashy, cheap, flavor of the year washers and dryers from Samsung"
Neutral,Positive,3.0,Three Stars,Three Stars. They did the job. I needed to bend or trim the filter to fit.
Positive,Negative,5.0,Perfect Quality Fitting To Attach To The Dishwashers Water Valve For Your Dishwasher Installation,"Perfect Quality Fitting To Attach To The Dishwashers Water Valve For Your Dishwasher Installation. Very high quality, and I used this today to install my new di"
Positive,Negative,5.0,Danby DDW396W Countertop Dishwasher,"Danby DDW396W Countertop Dishwasher. Quiet possibly the best purchase I have made for my apartment!

After reading all the reviews I could find, some being nega"
Positive,Negative,5.0,... imagine having anything else but this model here feels like puppy love again reminds me of the transformer robots ...,... imagine having anything else but this model here feels like puppy love again reminds me of the transformer robots .... i thought the middle chill drawer was
Neutral,Positive,3.0,Three Stars,Three Stars. This replacement knob is smaller in diameter than the original.
Positive,Neutral,5.0,would buy again,would buy again. used this to monitor temp and humidity in my wide body gun safe that is in the garage.  works great.  I have the monitor on the middle shelf in
Positive,Negative,4.0,They work great but one star knockdown for one of the filters ...,"They work great but one star knockdown for one of the filters .... This is my third set of these OEM original filters. This last set, the filter clogged about 2"
Negative,Positive,1.0,not a replacement filter its a clip on,not a replacement filter its a clip on. not a replacement filter its a clip on
Positive,Neutral,4.0,Decent but louder than expected.,"Decent but louder than expected.. It looks nice, has good suction and good light.  I feel it is much louder even at low setting and that is an aspect their engi"
Neutral,Positive,3.0,Three Stars,Three Stars. Was correct handle... Havn't used as I fixed my old one with JB Weld.
Neutral,Negative,3.0,Probabaly not the quality of LG filters.,"Probabaly not the quality of LG filters.. After the installation, the water was dark (maybe charcoal filter material?) for the first 2 gallons while flushing wh"
Neutral,Positive,3.0,It is the right price,It is the right price. I have had no problem with it. I like it so far its been 2 months of use. It has worked for me.
Positive,Neutral,4.0,Produces more ice than two can use,"Produces more ice than two can use. Purchased this unit to use while our other one, a different brand was being repaired. Turns out both are the same unit. This"
Positive,Neutral,5.0,I got prepared for a struggle. I put on ...,"I got prepared for a struggle. I put on .... I got prepared for a struggle. I put on rubber gloves for grip, removed the top shelf for access, removed the old f"
Positive,Neutral,5.0,Peace of mind!,Peace of mind!. Great to make sure dogs stay cool if I'm away in the extreme desert weather. Alarms on temp as well as if the base looses power or internet sign
Positive,Neutral,4.0,My only complaint is that the little nail polish bottle is pretty hard to work with,My only complaint is that the little nail polish bottle is pretty hard to work with. It has held up over a few washes now so hopefully it'll last a long time. .
Positive,Neutral,4.0,Does the job.,"Does the job.. Works as advertised, but takes time and patience . Has been on a few months and looks like it is holding up for the moment.
I used navel jelly to"
Positive,Neutral,4.0,Appears to work,"Appears to work. Instructions were for refrigerator gasket, not dishwasher. Was not exactly what we took out of our dishwasher, had to make adjustments, first r"
Positive,Neutral,4.0,It does the job,"It does the job. It fit in the slot, and the previous once seemed to have lasted a decent while before crystalizing over with calcium."
Positive,Neutral,5.0,"Very cool & modern... However,","Very cool & modern... However,. My contractor wasn't  impressed with the fact that it didn't come with directions in English. I think he liked the challenge tho"
Positive,Neutral,5.0,"Works perfect, looks beautiful, Beers cold!","Works perfect, looks beautiful, Beers cold!. I read all the negative reviews, and like you questioned it. But comparing to other fridges with lesser reviews I w"
Positive,Negative,5.0,Watch your shipping costs,"Watch your shipping costs. Knobs were perfect.  Shipping was a rip off.  Shipping on one knob covered entire shipping cost of 5 knobs.  I feel violated, but I s"
Positive,Neutral,5.0,Godlike!,"Godlike!. So I bought this with mixed expectations, even with all of the positive reviews. Little did I know what a HUGE difference it would make. First, I watc"
Neutral,Negative,3.0,Lousy mounting options,"Lousy mounting options. I can't speak for the accuracy or precision, but they've been pretty useful regardless.

My main gripe is that they're not designed very"
Negative,Positive,2.0,Unexpected melting.,"Unexpected melting.. This worked for less then a month, this pump's pivot point melted causing a leak out of the center apex on the front face.&nbsp;<a data-hoo"
Positive,Negative,5.0,I fixed it!!,I fixed it!!. When my washer flooded my kitchen a few week ago I figured it was time to call the repairman or just trash the thing. Since I really can't afford 
Positive,Negative,4.0,A good chinese deal compared to italian products...,"A good chinese deal compared to italian products.... This matches my white upper high gloss cabinets from IKEA. It's different, yet functional. Ok to install, n"
Positive,Neutral,5.0,Great Case,"Great Case. I was NOT paid for this review! This is a great phone case for the price. It's durable, fairly slim, and extremely protective for the size and price"
Positive,Negative,4.0,Four Stars,"Four Stars. Did not plug directly in, but did come with instructions on how to install properly"
Negative,Positive,2.0,Not as advertised...,Not as advertised.... I have an older Frigidaire refrigerator (made before they became an Electrolux product) with ice and water through the door.  Although its
Positive,Negative,5.0,Its been running for 2 days so hopefully im good to go,Its been running for 2 days so hopefully im good to go. Kitchenaid range display went completely  out. Installed board and display is back. Its been running for
Positive,Neutral,4.0,Four Stars,Four Stars. Its okay
Positive,Negative,4.0,Works well. Much less expensive than band name. ...,Works well. Much less expensive than band name. .... Works well.  Much less expensive than band name.  Only minor grip is that there was no mark to line up the 
Positive,Negative,5.0,A+,A+. A+
Positive,Neutral,4.0,Must have the app to function. Works great and is cool to monitor the conditions your guitar/piano is stored in.,Must have the app to function. Works great and is cool to monitor the conditions your guitar/piano is stored in.. This item works great with its intended purpos
Positive,Neutral,5.0,Keeping as a spare,"Keeping as a spare. This solves the ""freezer cold, fridge warm"" problem most of the time. It's a cheap part and a pain to get to so why couldn't whirlpool make "
Negative,Neutral,2.0,Doesn't come with instructions to install.,"Doesn't come with instructions to install.. It had a few dings in it, which I can live with but it didn't come with installation instructions  which makes it ve"
Neutral,Positive,3.0,Disappointed,Disappointed. I love the dryer but it sticks on the spin button and that's not helpful.
Neutral,Positive,3.0,Amazing Amazon service,"Amazing Amazon service. The hose was a little short, so had to return this kit.  Amazing Amazon service, as always."
Positive,Negative,5.0,I can't imagine how many people out there are paying for a plumber to come out to their house to fix their garbage disposal. Apply tool to the hole that's underneath ...,I can't imagine how many people out there are paying for a plumber to come out to their house to fix their garbage disposal. Apply tool to the hole that's under
Neutral,Positive,3.0,Replacement part works fine. The fact that the wheels on the originals ...,Replacement part works fine. The fact that the wheels on the originals .... Replacement part works fine.  The fact that the wheels on the originals snapped off 
Positive,Neutral,4.0,"Easy install, over all.","Easy install, over all.. I bought this kit in order to expand the capabilities of my single tap system to a dual tap.  I thought the extra regulator would come "
Neutral,Positive,3.0,NOT METAL,NOT METAL. Key works but not metal like advertised.
Positive,Neutral,5.0,OEM Replacement Part Works Perfectly!,"OEM Replacement Part Works Perfectly!. My LG WM2455HG front loader was giving an ""FE"" Error Code whenever I would run a wash cycle of more than 20-30 minutes (a"
Positive,Negative,4.0,Easy view,"Easy view. Good under cabinet fridge for the price, however the blue LED light strip burned out. We purchased May 2017 and used for the summer only. Unplugged i"
Neutral,Negative,3.0,"For wm2016cw washers, get MDS33059401 with no drain port.","For wm2016cw washers, get MDS33059401 with no drain port.. Good replacement part, but the product description incorrectly states it is compatible with wm2016cw."
Positive,Negative,5.0,Five Stars,Five Stars. This wouldn't fit but they refunded my money
Neutral,Positive,3.0,Three Stars,Three Stars. works - price is rediculous
Positive,Neutral,4.0,Great hood tighten everything up when you get it.,"Great hood tighten everything up when you get it.. Hood came July 11 2017, the packaging was beaten up a little. I opened the box and was very happy the corners"
Positive,Negative,4.0,Works... but not an exact replacement.,"Works... but not an exact replacement.. The switch looks like the one being replaced. But, the stem was different than mine. Mine was a half moon, standard look"
Neutral,Positive,3.0,"its a filter, no moving parts, block carbon","its a filter, no moving parts, block carbon. comparing costs of a factory GE filter to these units it was a no brainer on what to purchase.  Both are the same c"
Positive,Negative,5.0,a good buy,"a good buy. wire mesh on both sides, a good buy"
Negative,Neutral,1.0,which is what we like. hope this helps you,"which is what we like. hope this helps you. we have nasty highly chlorinated water, and most filters will leave you with water that is on the acidic end of the "
Positive,Negative,5.0,Actually fun!,"Actually fun!. Well, After reading all the reviews I decided to buy one of these washer, and Im glade I did. The product that I recieved was the exactly the sam"
Negative,Positive,1.0,One Star,One Star. Not very happy with product arrived bent and bends easily
Neutral,Negative,3.0,"The parts are ok, but I was expecting different ...","The parts are ok, but I was expecting different .... The parts are ok ,but I was expecting different brand..."
Positive,Negative,5.0,Excellent product. Don't waste your money on cheaper compatible ...,"Excellent product. Don't waste your money on cheaper compatible .... Excellent product.  Don't waste your money on cheaper compatible filters.
They just don't d"
Positive,Negative,5.0,"... any faster than a regular stove top but I LOVE the ""no burn"" option if I happen to touch ...","... any faster than a regular stove top but I LOVE the ""no burn"" option if I happen to touch .... Don't think its any faster than a regular stove top but I LOVE"
Positive,Negative,5.0,Five Stars,Five Stars. I tried the generic brand. This by far makes a lot less noise while water is flowing through it.
Positive,Neutral,5.0,But I have faith they will be fine.,But I have faith they will be fine.. They arrived before stated date. They were given as baby shower gift along with the humidifier so I am unable to say w how 
Positive,Neutral,5.0,Fixed my fridge! Genuine part!,Fixed my fridge! Genuine part!. Came in a Genuine Whirlpool parts box and did not have markings mysteriously removed. This is the third motor I have tried on my
Positive,Negative,4.0,water actually tasted better after replacing with this new filter,water actually tasted better after replacing with this new filter. water actually tasted better after replacing with this new filter.  Old filter was ~ 7 months
Neutral,Positive,3.0,Three Stars,Three Stars. This filter has kept the water tasting good but it flows pretty slow compared to original.
Neutral,Positive,3.0,Three Stars,"Three Stars. Tight fit in my old Kitchen Aid dishwasher.  Prefer a single long basket, but it works."
Neutral,Negative,3.0,Not clear ice,Not clear ice. Was supposedly a clear ice maker and it produces the same cloudy ice my refrigerator does so we returned it
Positive,Negative,5.0,Five Stars,Five Stars. This is the 3rd time I order this product.
Positive,Negative,5.0,Mack Truck of Washers!,Mack Truck of Washers!. Been wanting a Speed Queen for almost a year now. I was very smart and did hours of research reading countless reviews on Amazon and var
Positive,Negative,5.0,Felt like a genius following the directions and making a big ...,Felt like a genius following the directions and making a big .... Made a world of difference in using the dishwasher.  Felt like a genius following the directio
Positive,Negative,4.0,"so I thought maybe our wiring was faulty but this fan works great, I wished I would have returned the first ...","so I thought maybe our wiring was faulty but this fan works great, I wished I would have returned the first .... This is the second fan as the first one worked "
Positive,Negative,4.0,Decent,"Decent. Thin, but sturdy enough.  Covers burners well.  One of the covers has scuffs on it, but the scuffs aren't THAT obvious, and aren't worth the hassle of t"
Neutral,Negative,3.0,As described but poorly made,As described but poorly made. Item is as described.  These parts are susceptible to breaking very easily.  I expect this will last a year or two and then break 
Positive,Negative,5.0,Five Stars,Five Stars. Takes water from one place and puts it in another!
Negative,Positive,1.0,GE MWF Refrigerator Water Filter?,"GE MWF Refrigerator Water Filter?. I received this water filter in a timely matter but, it was in altered packaging.  Also, it didn't include any instructions a"
Positive,Negative,5.0,works as well as the original at a fration of the cost,works as well as the original at a fration of the cost. cheaper replacement seems to work as well as the original. when changing the filter make sure to TURN OF
Neutral,Negative,3.0,"These are cool, but they are kind of poorly made","These are cool, but they are kind of poorly made. These are cool, but they are kind of poorly made. I have had to buy quite a few of these over the passed few y"
Neutral,Negative,3.0,Perfect for the home bar,Perfect for the home bar. I purchased this a tad over a year ago.  It was great at first; then I had issues with it making too small of ice and lots of noise.  
Positive,Negative,5.0,Product really allows much higher flow of water through system ...,Product really allows much higher flow of water through system .... Product really allows much higher flow of water through system and it has removed all the ch
Positive,Neutral,5.0,Five Stars,"Five Stars. Size was a little large, bug nothing scissors wouldn't fix"
Neutral,Negative,3.0,very quiet but leaves some food on plates and silverware,very quiet but leaves some food on plates and silverware. Maybe I just don't like modern dishwashers. I had a 1996 Whirlpool that was a bit noisy but got everyt
Positive,Negative,5.0,Great Invention,"Great Invention. When it 1st came I did a load and thought this is too much work,  but I'll do another load before sending it back,  then I did another one & an"
Neutral,Negative,3.0,"Right basket, good price","Right basket, good price. So if you are looking for this basket chances are your old one has started crumbling in the back and center bottom. Really happy I fou"
Negative,Positive,2.0,Another replacement was purchased,Another replacement was purchased. This item was the closest available via Amazon.com as a replacement part. Another store had a more identical replacement part
Positive,Negative,4.0,"infant resistant, accuracy verified via undisputed standard. [indirectly traceable to NBS].","infant resistant, accuracy verified via undisputed standard. [indirectly traceable to NBS].. nicely made. face covered by what seems to be a splash shield which"
Neutral,Positive,3.0,Three Stars,Three Stars. they look good but don't fit as nicely as I would have liked.
Neutral,Positive,3.0,Three Stars,Three Stars. It fit the socket and works.
Neutral,Negative,3.0,Fit fine.  Arrived dented.  Metal is MUCH too thin.,Fit fine.  Arrived dented.  Metal is MUCH too thin.. They arrived dented.  I tried them for size and they did fit. The metal for both the rim and pans was pitif
Negative,Neutral,2.0,Two Stars,"Two Stars. Cheap, construction. Mine arrived slightly damaged enough to hinder its extension ability. Not what I was expecting"
Positive,Neutral,5.0,Not sure if I got lucky and got a good one but this one does not click like the ...,Not sure if I got lucky and got a good one but this one does not click like the .... Not sure if I got lucky and got a good one but this one does not click like
Positive,Neutral,5.0,Consider it cheap insurance to replace this bolt.,"Consider it cheap insurance to replace this bolt.. Definitely worth replacing, even if the original bolt is in perfect shape and the agitator kit comes with a r"
Positive,Negative,4.0,Love my washer,Love my washer. Love my washer! I store it near the kitchen sink so it's not far away from water. No going to the basement any more!!! I am having a bit of chal
Positive,Neutral,4.0,Black Zjskin EDC flat mini pry bar,Black Zjskin EDC flat mini pry bar. The bottle opener/ nut wrench flat bar will be in my EDC car emergency kit.  It takes up less room than an adjustable  thoug
Positive,Negative,5.0,Works just fine,"Works just fine. This thermostat works as described, had the correct end fittings, and would have been an easy fix- it just wasn't the problem as I thought. You"
Positive,Negative,5.0,Five Stars,Five Stars. Very nice but fragile. Uses magnets.  To avoid breakage I recommend glue to support the magnets.
Neutral,Positive,3.0,Cooking on a slope,"Cooking on a slope. Yep, its like cooking on a slope.  It takes a special skill.  The burner works just fine and fits into my stove as it should. Just slopes sl"
Neutral,Negative,3.0,I have a Tappan. The small ones fit. ...,I have a Tappan. The small ones fit. .... I have a Tappan. The small ones fit. A tad loose. The larger ones are a tiny bit too big so it doesn't sit flush. When
Positive,Neutral,5.0,Five Stars,Five Stars. WAS ALMOST TOO SHORT--BUT WE FOUND OUT THERE ARE RESTRICTIONS ON THE LENGTH OF THESE.
Neutral,Negative,3.0,Not accurate.,Not accurate.. Not accurate. Humidity fluctuates greatly in short amounts of time. It can read 50% humidity and three minutes later say 30%. Can't be accurate i
Positive,Negative,4.0,it seems it is reliable; when I came back ...,"it seems it is reliable; when I came back .... it seems it is reliable; when I came back from vacation with the family, the CO2 reading was low ( in 500 range),"
Positive,Neutral,5.0,I went with this kids tunnel and it works great! My largest dog is 56 lbs but he's ...,I went with this kids tunnel and it works great! My largest dog is 56 lbs but he's .... I bought this as a training tunnel for my dogs (for teaching agility).  
Negative,Positive,2.0,Two Stars,"Two Stars. could not use, id not fit as well as original KAZ replacement product!  Returned."
Positive,Negative,5.0,Accurate.,Accurate.. I like having the humidity as the predominantly displayed reading - isn't that what it's for?
Positive,Negative,4.0,Works.,Works.. Recently had to order a new motor for the (7 year old) LG dryer. The part of the motor that failed had been redesigned and was built much stronger on th
Positive,Neutral,5.0,Weve read a lot of reviews about ice makers and ...,Weve read a lot of reviews about ice makers and .... Weve read a lot of reviews about ice makers and went with this one despite some contradictions. Weve been r
Positive,Neutral,4.0,Great value,"Great value. Whatever your reason is for taking a long, hard look at the cheapest of range hoods, buy this with confidence.  This was a perfect, and attractive "
Neutral,Negative,3.0,Washing part is good. The dryer is junk,"Washing part is good. The dryer is junk. Washing part is good. The dryer is junk. Spin cycle still leaves the clothes wet.  I thought it had some heat, but nope"
Positive,Negative,5.0,Good material. Would,Good material. Would. Fits the door that I have. I called in to verify which only took a minute. Good material. Would recommend
Negative,Neutral,1.0,Not what I expected,Not what I expected. If you want loud creaks and groans then this is the kit for you. The cord creates harmonic disturbance as it gets pulled through the wheels
Positive,Negative,4.0,"Right fit for my humidifier, odd number to include in a set though.","Right fit for my humidifier, odd number to include in a set though.. These fit my Sunbeam SCM631 without issues and is working well.

I question why they're sol"
Positive,Neutral,5.0,Five Stars,Five Stars. ok
Positive,Neutral,5.0,Great all around appliance; quick to heat up.,"Great all around appliance; quick to heat up.. I am a fan of this stove (the Amana AER5830VAW).  First off, the measurements  were spot on, and the 30"" width wa"
Positive,Neutral,5.0,Compact and small thermometer fits in wine refrigerators and cigar humidor.,"Compact and small thermometer fits in wine refrigerators and cigar humidor.. Works pretty good, bought four of these and a Taylor thermometer and they all read "
Positive,Negative,5.0,Exactly what I expected!,"Exactly what I expected!. First of all, I knew exactly what I was buying. I was buying a portable ice maker - not a freezer, not a ice maker like they have in t"
Positive,Negative,4.0,Filter fell apart,Filter fell apart. Very good.
Positive,Negative,5.0,Pumped up,"Pumped up. Got my washer working again. Machine would wash, attempt to empty water and moments later restart the wash cycle. The old one sounded as if was worki"
Positive,Negative,5.0,Good Weather Station With A Few Conditions,"Good Weather Station With A Few Conditions. After reading the manual on how to set up the display unit and outdoor sensor, the instructions recommended that bot"
Positive,Neutral,5.0,Five Stars,Five Stars. Appeared to be smaller that my last one but has worked
Positive,Negative,5.0,"My washing machine used to ""walk"" all the time when ...","My washing machine used to ""walk"" all the time when .... My washing machine used to ""walk"" all the time when running. I tried and tried to level it up but could"
Neutral,Positive,3.0,Three Stars,Three Stars. appears to work
Positive,Negative,4.0,"Good results, short-lived product.","Good results, short-lived product.. This is my second Infiniti Pro by Conair Hot Air Spin Style. The first lasts 2 years and then the spinner motor died. Since "
Positive,Negative,4.0,Really does dry hair to a silky finish,Really does dry hair to a silky finish. There is a very noticeable difference in the look of my hair when I use this dryer as opposed to a traditional blow drye
Positive,Negative,5.0,Exactly as stated in description and they threw in faceplates as well.,Exactly as stated in description and they threw in faceplates as well.. Exactly as stated in description and they threw in faceplates as well!
Negative,Neutral,2.0,Not so happy,"Not so happy. I use Playtex DropIns bottles/nipples, which are larger than average nipples.  These nipples do NOT fit well in the nipple compartment of this dis"
Positive,Neutral,4.0,Good but pricey!,Good but pricey!. It was difficult to get on but did a good job. The price went up $10 in six months so I am using a different filterr now.
Positive,Neutral,4.0,Rugged sensor.,Rugged sensor.. This is a simple and robust unit.  It displays only in Celsius which is not a drawback for me.  I bought it for my daughter's science project an
Positive,Negative,5.0,It works!  But note the design has changed.,It works!  But note the design has changed.. This does work really well to remove the odors and tastes from ice. Be sure to dump all your current ice when you p
Negative,Positive,2.0,Two Stars,Two Stars. These look very sleek in the pictures but in reality very bulky.
Neutral,Negative,3.0,I thought the color was black stainless steel but it's ...,I thought the color was black stainless steel but it's .... I thought the color was black stainless steel but it's just stainless steel painted black. I will ke
Positive,Negative,5.0,It filters out bad smells and keeps the frog smelling great,It filters out bad smells and keeps the frog smelling great. I have been using this product ever since we bought our Whirlpool frog over two years ago.  It filt
Positive,Negative,5.0,fridgeadair water actuator,"fridgeadair water actuator. We looked every where for this part.local,on the fridgeadair web site,every where. But Bing! Let's try Amazon! We found it,we bought"
Positive,Neutral,5.0,Laboratory Grade,"Laboratory Grade. I am a chemistry teacher and need a smallish but regular supply of ice (ice baths) for about 180 teenage students doing lab everyday, all day."
Positive,Negative,5.0,Fixed my leak!,Fixed my leak!. I have a Frigidaire FGHD2433KF1 dishwasher which recently started to slowly leak water near the front right edge beneath the door.  Closer inspe
Positive,Neutral,5.0,Cheap insurance,Cheap insurance. There's nothing not to like.  These hoses are more durable than rubber alone.  The fittings are as leakproof as fittings can be (make sure you 
Neutral,Negative,3.0,loudest fridge ever,"loudest fridge ever. I rent, Lowes delivered this new and it seemed to be fine thought noise was new fridge getting cold.
Its nice its coils are covered but thi"
Neutral,Negative,3.0,Very fragile,"Very fragile. It's the official part for my fridge model and fits as it should, but these are extremely fragile. I've gone already through 3 of these. It should"
Positive,Negative,5.0,Piece of mind,"Piece of mind. Our washer and dryer are on the 2nd floor with no drain, these give us a bit more piece of mind."
Positive,Negative,4.0,One Star,One Star. Took a lot of tightening to gett hoses to seal.
Positive,Negative,5.0,On bad spots we ended up cutting them out and putting ...,On bad spots we ended up cutting them out and putting .... Works well if you get the area clear of any rust. On bad spots we ended up cutting them out and putti
Neutral,Positive,3.0,Three Stars,Three Stars. work well
Positive,Negative,5.0,They are clearly well-made and would have done the job ...,"They are clearly well-made and would have done the job .... They are clearly well-made and would have done the job, but my refrigerator is big and rolls into a "
Neutral,Positive,3.0,I was not happy with the mounting hardware it came with,"I was not happy with the mounting hardware it came with. I was not happy with the mounting hardware it came with.
Mounting instructions are pretty worthless. I "
Positive,Negative,5.0,Five Stars,Five Stars. 100% positive.
Positive,Negative,5.0,Perfect for for RV Norcold fridge outside cover,"Perfect for for RV Norcold fridge outside cover. Worked for two latches I broke in my RV fridge vent.  The reviews are accurate, what is pictured is the mold th"
Negative,Neutral,2.0,Works for one year only,Works for one year only. Reporting back after a year...This item fit my Frigidaire Affinity and worked fine for just short of a year before the internal panel t
Positive,Neutral,5.0,... in their freezer produces ice relatively slowly and they like to entertain - now whenever they have people come ...,... in their freezer produces ice relatively slowly and they like to entertain - now whenever they have people come .... Gave this as a gift to help ensure the 
Neutral,Negative,3.0,Close but not quite compatible ...,"Close but not quite compatible .... The Water Sentinel WSS-1 is listed as ""Replacees Samsung DA29-00003b"". Well, that is close to correct, but not quite. The WS"
Neutral,Positive,3.0,Caution nutbolt broke off! But WORKING!,"Caution nutbolt broke off! But WORKING!. Fit great but word of caution do NOT try and tighten bolt nut is weak and will break off with much force!
But it still "
Positive,Negative,5.0,Nice quality but didn't work for me.,"Nice quality but didn't work for me.. Didn't fit, had to be returned. Nice quality though."
Positive,Negative,4.0,"It was great, then it started to smell! But was sent a new one","It was great, then it started to smell! But was sent a new one. I went through so much to search and locate this dryer after the UPS driver had difficulties del"
Negative,Positive,1.0,One Star,One Star. Great price for the right item
Neutral,Positive,3.0,It barely fits,"It barely fits. It barely fits, I struggle to install it, but it works"
Neutral,Negative,3.0,Not too sure about this purchase...,Not too sure about this purchase.... Wheels fell off and won't stay on before we even used it.
Neutral,Positive,3.0,"Good tube, but buy different clamps","Good tube, but buy different clamps. The tube itself is great, and replaced my previous one perfectly. The connectors were very difficult to put on though. I wa"
Neutral,Negative,3.0,Decent,"Decent. Decent quality. Took a VERY LONG time to get this, which sucks."
