label,MultinomialNB_pred,overall,summary,text_preview
Neutral,Negative,3.0,Needs Some Headroom...,"Needs Some Headroom.... These work as an odor filter as long as they don't get clogged with grease vapors.
I also had a problem when I installed a new filter..."
Positive,Negative,5.0,This filter is effective but expensive for the amount of time it lasts when using it nightly.,"This filter is effective but expensive for the amount of time it lasts when using it nightly.. Because I have severely dry eyes, I need a humidifier in my bedro"
Neutral,Positive,3.0,Does not have screw holes/pre-crimpped connectors,Does not have screw holes/pre-crimpped connectors. Product does not have screw holes to readily install once received.  Wire connectors are required to be crimp
Negative,Positive,2.0,Not worth the money,Not worth the money. It didn't really make things any easier to hook up.  Should have sent it back but it's up now and I don't want to uninstall it.
Negative,Positive,2.0,Two Stars,Two Stars. Inner gear dimensions do not match factory specs.  Had to use old sprocket.
Negative,Positive,1.0,The part worked fine. Getting the refund back after being promised that ...,The part worked fine. Getting the refund back after being promised that .... The part worked fine. Getting the refund back after being promised that I would rec
Neutral,Negative,3.0,"Didn't solve my issue, but CS was good","Didn't solve my issue, but CS was good. It worked great at first. Was able to run a load, but than a few weeks later it started doing the same thing as before ("
Neutral,Positive,3.0,So far so good.,So far so good.. Hopefully long term use will provide desired and advertised results. So far so good.
Positive,Neutral,4.0,"Works, but construction is cheap.","Works, but construction is cheap.. It works, but is built cheap, VERY cheap. It seems very flimsy, but it actually does seem to work at keeping the lint down. O"
Neutral,Negative,3.0,Disappointment not expected,Disappointment not expected. I received my new Maytag Centennial washer as a Christmas gift from our daughter. I was so excited to get a new washer with high ca
Negative,Positive,1.0,Do not buy an appliance from Fisher Paykel,"Do not buy an appliance from Fisher Paykel. I spent a great deal of money on what I had been led to believe was a quality product, but I have had nothing but pr"
Negative,Positive,2.0,but they didn't have the outside felt like exterior like the original,"but they didn't have the outside felt like exterior like the original. Can't give any fair assessment. Received filters, but they didn't have the outside felt l"
Negative,Positive,1.0,Just One Piece of Felt,"Just One Piece of Felt. I also received only the felt, no other parts for this kit.  Something is very wrong somewhere."
Neutral,Positive,3.0,"Just okay ,good for a no kid home","Just okay ,good for a no kid home. It still falls off but my kids are always messing with fridge but if you don't have kid product is ok, craftsmanship was ok c"
Neutral,Positive,3.0,Wrong and missing parts,Wrong and missing parts. I am giving this 3 stars because it does not come with all the parts needed to install to your fridge. The piercing saddle has instruct
Neutral,Negative,3.0,Great machine if it didn't leak...,"Great machine if it didn't leak.... So far a good machine. However, the instructions are extremely lacking. First there was a plug in a package but there was no"
Positive,Negative,5.0,My garbage disposal had stopped working for a few days,"My garbage disposal had stopped working for a few days. My garbage disposal had stopped working for a few days, when I learned about these wrenches. I'm not sur"
Neutral,Positive,3.0,Don't know how long this one will last,Don't know how long this one will last. It was a replacement for the last one I bought 1 year ago.
Negative,Positive,2.0,Plastic flavored water,Plastic flavored water. My water and ice in the fridge tasted like plastic even after running 4 gallons through the filter
Neutral,Positive,3.0,Good quality with some annoyances,"Good quality with some annoyances. Good quality, and an improvement over some earlier models. However, the front panel arrived with some minor denting on the bo"
Neutral,Positive,3.0,Good price compared to Lowes but you need to run ...,"Good price compared to Lowes but you need to run .... Good price compared to Lowes but you need to run several gallons through it before drinking the water, to "
Neutral,Positive,3.0,"Do not use for precise applications. For casual use, it's okay.","Do not use for precise applications. For casual use, it's okay.. We have several of these instruments and upon comparing them side by side they vary within abou"
Positive,Neutral,5.0,it works like it's supposed to. and then some,"it works like it's supposed to. and then some. I didn't give it five stars simply because it takes forever to calibrate (updated to five later), you either hold"
Neutral,Negative,3.0,Not a bad basic range bag,"Not a bad basic range bag. I bought this as my first range bag. The 2 pouches for gun are awful in my opinion, the are super thin and the velcro is awful, I end"
Positive,Negative,4.0,The range hood has only been used for a week ...,"The range hood has only been used for a week .... The range hood has only been used for a week, one of the halogen lamp has dead.

This is an update on my 2 sta"
Neutral,Positive,3.0,Good product but installation is not easy.,Good product but installation is not easy.. The product seems to be sturdy and made of high quality material. It has two fans therefore it could be powerful and
Positive,Negative,4.0,Love it!,"Love it!. I finally got a roast that's not like leather with the auto cook temp probe.  However, the lid parts are cheap plastic.  after the second use, the han"
Positive,Negative,5.0,Probably should have purchased from a store,"Probably should have purchased from a store. Even though the box was pretty stout, mine still arrived bent approx 30 degrees.  Not a corner bend like many here "
Neutral,Positive,3.0,Three Stars,Three Stars. They did the job. I needed to bend or trim the filter to fit.
Positive,Negative,5.0,Perfect Quality Fitting To Attach To The Dishwashers Water Valve For Your Dishwasher Installation,"Perfect Quality Fitting To Attach To The Dishwashers Water Valve For Your Dishwasher Installation. Very high quality, and I used this today to install my new di"
Positive,Negative,5.0,Danby DDW396W Countertop Dishwasher,"Danby DDW396W Countertop Dishwasher. Quiet possibly the best purchase I have made for my apartment!

After reading all the reviews I could find, some being nega"
Positive,Negative,5.0,... imagine having anything else but this model here feels like puppy love again reminds me of the transformer robots ...,... imagine having anything else but this model here feels like puppy love again reminds me of the transformer robots .... i thought the middle chill drawer was
Neutral,Positive,3.0,Three Stars,Three Stars. This replacement knob is smaller in diameter than the original.
Positive,Negative,4.0,They work great but one star knockdown for one of the filters ...,"They work great but one star knockdown for one of the filters .... This is my third set of these OEM original filters. This last set, the filter clogged about 2"
Negative,Positive,1.0,not a replacement filter its a clip on,not a replacement filter its a clip on. not a replacement filter its a clip on
Negative,Positive,2.0,I didn't know I could just screw the dishwasher into ...,I didn't know I could just screw the dishwasher into .... I didn't know I could just screw the dishwasher into the side cabinets. Didnt end up needing all these
Neutral,Positive,3.0,Three Stars,Three Stars. Was correct handle... Havn't used as I fixed my old one with JB Weld.
Negative,Positive,1.0,there is not a good seal and the water filter leaks,"there is not a good seal and the water filter leaks. These are shorter than the name brand ones from Kenmore, so when you install them, there is not a good seal"
Neutral,Positive,3.0,Probabaly not the quality of LG filters.,"Probabaly not the quality of LG filters.. After the installation, the water was dark (maybe charcoal filter material?) for the first 2 gallons while flushing wh"
Neutral,Positive,3.0,It is the right price,It is the right price. I have had no problem with it. I like it so far its been 2 months of use. It has worked for me.
Neutral,Positive,3.0,Three Stars,Three Stars. ok
Negative,Positive,1.0,Non returnable item.,"Non returnable item.. Put the battery on, didn't do anything. Then, it was a non returnable item."
Positive,Neutral,5.0,"Works perfect, looks beautiful, Beers cold!","Works perfect, looks beautiful, Beers cold!. I read all the negative reviews, and like you questioned it. But comparing to other fridges with lesser reviews I w"
Negative,Positive,1.0,Filter is not a Direct Replacement - watch out,"Filter is not a Direct Replacement - watch out. Cheap knockoff that can actually hurt your refrigerator - watch out for the ""Compatible"" - means not a direct re"
Negative,Positive,2.0,Unexpected melting.,"Unexpected melting.. This worked for less then a month, this pump's pivot point melted causing a leak out of the center apex on the front face.&nbsp;<a data-hoo"
Neutral,Positive,3.0,"Do the job, but careful when you extend to longest length!","Do the job, but careful when you extend to longest length!. I used these and they're OK. If you over-extend them a bit, they fail to allow you to recoil them ba"
Negative,Positive,1.0,The reason why I'm disappointed is because I did not need this with the ...,The reason why I'm disappointed is because I did not need this with the .... The reason why I'm disappointed is because I did not need this with the vent hood I
Negative,Positive,2.0,veggie crisper,"veggie crisper. These were to small for my refridgerator.. I need  taller bins. Please  advise how I can return them.my email is
ddenhup@stvincents.org"
Negative,Positive,2.0,Not as advertised...,Not as advertised.... I have an older Frigidaire refrigerator (made before they became an Electrolux product) with ice and water through the door.  Although its
Neutral,Positive,3.0,Three Stars,Three Stars. a little too wide for my actual liking but does do what i bought it for well.
Negative,Positive,2.0,Ok,Ok. No way to fit these properly
Negative,Positive,2.0,Doesn't come with instructions to install.,"Doesn't come with instructions to install.. It had a few dings in it, which I can live with but it didn't come with installation instructions  which makes it ve"
Neutral,Positive,3.0,Working okay so far but drainage hose leaks,Working okay so far but drainage hose leaks. I love this thing. I cannot even describe to you how much I hate cleaning dishes. I have a full time job and when I
Neutral,Positive,3.0,Disappointed,Disappointed. I love the dryer but it sticks on the spin button and that's not helpful.
Neutral,Positive,3.0,Amazing Amazon service,"Amazing Amazon service. The hose was a little short, so had to return this kit.  Amazing Amazon service, as always."
Negative,Positive,1.0,One Star,One Star. Not s good match
Negative,Positive,1.0,One Star,One Star. 2 weeks after install belt had stretched and needed replaced!
Neutral,Positive,3.0,Replacement part works fine. The fact that the wheels on the originals ...,Replacement part works fine. The fact that the wheels on the originals .... Replacement part works fine.  The fact that the wheels on the originals snapped off 
Negative,Positive,2.0,Slow Flow,Slow Flow. Does not let the water flow as freely as the namebrand so it takes longer to fill your vessel.  Not worth the savings.
Neutral,Positive,3.0,NOT METAL,NOT METAL. Key works but not metal like advertised.
Positive,Negative,5.0,OEM Replacement Part Works Perfectly!,"OEM Replacement Part Works Perfectly!. My LG WM2455HG front loader was giving an ""FE"" Error Code whenever I would run a wash cycle of more than 20-30 minutes (a"
Negative,Positive,1.0,Not as listed,Not as listed. These are not Samsung brand or made by Samsung.
Neutral,Negative,3.0,"For wm2016cw washers, get MDS33059401 with no drain port.","For wm2016cw washers, get MDS33059401 with no drain port.. Good replacement part, but the product description incorrectly states it is compatible with wm2016cw."
Positive,Negative,5.0,Five Stars,Five Stars. This wouldn't fit but they refunded my money
Neutral,Positive,3.0,Three Stars,Three Stars. works - price is rediculous
Negative,Positive,1.0,The length does not fit my dish washer.,The length does not fit my dish washer.. I don't know if it fits to my dish washer. Just give it a try. it is too long anyway.
Positive,Neutral,5.0,"So far, so good....","So far, so good..... This little cook top replaced another Frigidaire that was 14 years old, so I'm hoping for similar longevity.  The installation was a breeze"
Neutral,Positive,3.0,Three Stars,"Three Stars. i like it, but i wish the water came from top too for dual water power"
Neutral,Positive,3.0,"its a filter, no moving parts, block carbon","its a filter, no moving parts, block carbon. comparing costs of a factory GE filter to these units it was a no brainer on what to purchase.  Both are the same c"
Negative,Positive,1.0,which is what we like. hope this helps you,"which is what we like. hope this helps you. we have nasty highly chlorinated water, and most filters will leave you with water that is on the acidic end of the "
Negative,Positive,1.0,Black floating specks,Black floating specks. Installed easily and great at first but 2 months later its leaking black specks into my water.
Negative,Positive,1.0,One Star,One Star. Not very happy with product arrived bent and bends easily
Neutral,Positive,3.0,"The parts are ok, but I was expecting different ...","The parts are ok, but I was expecting different .... The parts are ok ,but I was expecting different brand..."
Positive,Negative,5.0,Excellent product. Don't waste your money on cheaper compatible ...,"Excellent product. Don't waste your money on cheaper compatible .... Excellent product.  Don't waste your money on cheaper compatible filters.
They just don't d"
Neutral,Positive,3.0,Three Stars,Three Stars. This filter has kept the water tasting good but it flows pretty slow compared to original.
Neutral,Positive,3.0,Three Stars,"Three Stars. Tight fit in my old Kitchen Aid dishwasher.  Prefer a single long basket, but it works."
Neutral,Positive,3.0,Not clear ice,Not clear ice. Was supposedly a clear ice maker and it produces the same cloudy ice my refrigerator does so we returned it
Negative,Positive,2.0,Works well if you turn it twice a day,Works well if you turn it twice a day. Did not maintain moisture like the ones that have aluminum inner frame
Positive,Negative,5.0,Mack Truck of Washers!,Mack Truck of Washers!. Been wanting a Speed Queen for almost a year now. I was very smart and did hours of research reading countless reviews on Amazon and var
Positive,Negative,4.0,"so I thought maybe our wiring was faulty but this fan works great, I wished I would have returned the first ...","so I thought maybe our wiring was faulty but this fan works great, I wished I would have returned the first .... This is the second fan as the first one worked "
Neutral,Positive,3.0,As described but poorly made,As described but poorly made. Item is as described.  These parts are susceptible to breaking very easily.  I expect this will last a year or two and then break 
Negative,Positive,1.0,GE MWF Refrigerator Water Filter?,"GE MWF Refrigerator Water Filter?. I received this water filter in a timely matter but, it was in altered packaging.  Also, it didn't include any instructions a"
Neutral,Negative,3.0,"These are cool, but they are kind of poorly made","These are cool, but they are kind of poorly made. These are cool, but they are kind of poorly made. I have had to buy quite a few of these over the passed few y"
Negative,Positive,1.0,crappie parts,crappie parts. Not whirlpool parts!!!!
Neutral,Negative,3.0,Perfect for the home bar,Perfect for the home bar. I purchased this a tad over a year ago.  It was great at first; then I had issues with it making too small of ice and lots of noise.  
Neutral,Positive,3.0,Three Stars,Three Stars. I feel like these filters discolor and need to be changed quite often.
Negative,Positive,1.0,Doesn't get cold enough.,"Doesn't get cold enough.. Even with the fridge set at 38, the coldest mine will get down to is 48. I installed it into my newly renovated kitchen and spent $700"
Negative,Positive,2.0,Good if it fit.,"Good if it fit.. Good price, seemed to be built well enough but , Did not fit my application. Check that it will work for you before using.

Returned via amazon"
Neutral,Negative,3.0,very quiet but leaves some food on plates and silverware,very quiet but leaves some food on plates and silverware. Maybe I just don't like modern dishwashers. I had a 1996 Whirlpool that was a bit noisy but got everyt
Positive,Negative,5.0,Great Invention,"Great Invention. When it 1st came I did a load and thought this is too much work,  but I'll do another load before sending it back,  then I did another one & an"
Neutral,Positive,3.0,"Right basket, good price","Right basket, good price. So if you are looking for this basket chances are your old one has started crumbling in the back and center bottom. Really happy I fou"
Negative,Positive,2.0,Another replacement was purchased,Another replacement was purchased. This item was the closest available via Amazon.com as a replacement part. Another store had a more identical replacement part
Neutral,Positive,3.0,does NOT fit Vicks UV 99.999% Germ Free Humidifier,does NOT fit Vicks UV 99.999% Germ Free Humidifier. works well to absorb minerals in water.  only lasts for three days in my hard water area.  these are too big
Neutral,Positive,3.0,Three Stars,Three Stars. they look good but don't fit as nicely as I would have liked.
Neutral,Positive,3.0,Three Stars,Three Stars. It fit the socket and works.
Neutral,Negative,3.0,Fit fine.  Arrived dented.  Metal is MUCH too thin.,Fit fine.  Arrived dented.  Metal is MUCH too thin.. They arrived dented.  I tried them for size and they did fit. The metal for both the rim and pans was pitif
Negative,Positive,2.0,Two Stars,"Two Stars. Cheap, construction. Mine arrived slightly damaged enough to hinder its extension ability. Not what I was expecting"
Positive,Negative,4.0,Love my washer,Love my washer. Love my washer! I store it near the kitchen sink so it's not far away from water. No going to the basement any more!!! I am having a bit of chal
Neutral,Positive,3.0,Cooking on a slope,"Cooking on a slope. Yep, its like cooking on a slope.  It takes a special skill.  The burner works just fine and fits into my stove as it should. Just slopes sl"
Neutral,Positive,3.0,Not accurate.,Not accurate.. Not accurate. Humidity fluctuates greatly in short amounts of time. It can read 50% humidity and three minutes later say 30%. Can't be accurate i
Negative,Positive,2.0,Two Stars,"Two Stars. could not use, id not fit as well as original KAZ replacement product!  Returned."
Negative,Positive,2.0,Temporary,"Temporary. Very simple to change, sadly the lifespan is 6-9 months."
Neutral,Negative,3.0,Washing part is good. The dryer is junk,"Washing part is good. The dryer is junk. Washing part is good. The dryer is junk. Spin cycle still leaves the clothes wet.  I thought it had some heat, but nope"
Negative,Positive,1.0,Not what I expected,Not what I expected. If you want loud creaks and groans then this is the kit for you. The cord creates harmonic disturbance as it gets pulled through the wheels
Positive,Neutral,5.0,Great all around appliance; quick to heat up.,"Great all around appliance; quick to heat up.. I am a fan of this stove (the Amana AER5830VAW).  First off, the measurements  were spot on, and the 30"" width wa"
Positive,Negative,4.0,Filter fell apart,Filter fell apart. Very good.
Negative,Positive,1.0,This ice machine is too much trouble,This ice machine is too much trouble. This ice machine worked for awhile making ice but it froze up and would require the machine be unplugged. I sent it back a
Positive,Negative,5.0,Pumped up,"Pumped up. Got my washer working again. Machine would wash, attempt to empty water and moments later restart the wash cycle. The old one sounded as if was worki"
Positive,Negative,5.0,Good Weather Station With A Few Conditions,"Good Weather Station With A Few Conditions. After reading the manual on how to set up the display unit and outdoor sensor, the instructions recommended that bot"
Negative,Positive,1.0,God for bid if you have to send something back,God for bid if you have to send something back. God for bid if you have to send something back
Neutral,Positive,3.0,Three Stars,Three Stars. appears to work
Negative,Positive,2.0,"The item was good, however I didn't notice it was BISQUE instead ...","The item was good, however I didn't notice it was BISQUE instead .... The item was good, however I didn't notice it was BISQUE instead of the BLACK one I needed"
Neutral,Positive,3.0,"A couple were bent, but thicker than most. Good","A couple were bent, but thicker than most. Good. A little thicker than others I've had in the past. Fit fine, though two were bent ... but easily bent into plac"
Neutral,Positive,3.0,lint cleaning kit,lint cleaning kit. eh. this is just so so. screw poles don't stay connected well which means you can easily lose the apparatus inside your dryer vent! I think i
Negative,Positive,2.0,Not so happy,"Not so happy. I use Playtex DropIns bottles/nipples, which are larger than average nipples.  These nipples do NOT fit well in the nipple compartment of this dis"
Positive,Neutral,4.0,Rugged sensor.,Rugged sensor.. This is a simple and robust unit.  It displays only in Celsius which is not a drawback for me.  I bought it for my daughter's science project an
Positive,Negative,5.0,It works!  But note the design has changed.,It works!  But note the design has changed.. This does work really well to remove the odors and tastes from ice. Be sure to dump all your current ice when you p
Negative,Positive,2.0,Two Stars,Two Stars. These look very sleek in the pictures but in reality very bulky.
Neutral,Positive,3.0,I thought the color was black stainless steel but it's ...,I thought the color was black stainless steel but it's .... I thought the color was black stainless steel but it's just stainless steel painted black. I will ke
Positive,Negative,5.0,fridgeadair water actuator,"fridgeadair water actuator. We looked every where for this part.local,on the fridgeadair web site,every where. But Bing! Let's try Amazon! We found it,we bought"
Negative,Positive,1.0,Bad prouduct!,Bad prouduct!. lid switch are defective I bought 10 and none of them work lever switch has to be press way to far to engage
Negative,Positive,1.0,stainless steel that stains,stainless steel that stains. I never had stainless steel that stains.  This is not acceptable for a $1900 range. This is be my last Kitchenaid appliance
Negative,Positive,2.0,Not worth the money,"Not worth the money. If you spill something, the burner can't be cleaned and so you basically can't use it. what a dumb design!!"
Neutral,Negative,3.0,loudest fridge ever,"loudest fridge ever. I rent, Lowes delivered this new and it seemed to be fine thought noise was new fridge getting cold.
Its nice its coils are covered but thi"
Neutral,Negative,3.0,Very fragile,"Very fragile. It's the official part for my fridge model and fits as it should, but these are extremely fragile. I've gone already through 3 of these. It should"
Negative,Positive,2.0,Two Stars,Two Stars. appears the same as original but is not and does not fit unit
Neutral,Positive,3.0,Three Stars,Three Stars. work well
Neutral,Positive,3.0,Will Replace a broken one.,"Will Replace a broken one.. Replaced a worn out Jenn-air basket. Not quite the same. The old one kinda ""clicked"" in, where this one does not and doesn't sit qui"
Neutral,Positive,3.0,I was not happy with the mounting hardware it came with,"I was not happy with the mounting hardware it came with. I was not happy with the mounting hardware it came with.
Mounting instructions are pretty worthless. I "
Negative,Positive,2.0,Works for one year only,Works for one year only. Reporting back after a year...This item fit my Frigidaire Affinity and worked fine for just short of a year before the internal panel t
Neutral,Positive,3.0,Fitting,Fitting. You will have to cut it to make it fit...
Neutral,Negative,3.0,Close but not quite compatible ...,"Close but not quite compatible .... The Water Sentinel WSS-1 is listed as ""Replacees Samsung DA29-00003b"". Well, that is close to correct, but not quite. The WS"
Neutral,Positive,3.0,Caution nutbolt broke off! But WORKING!,"Caution nutbolt broke off! But WORKING!. Fit great but word of caution do NOT try and tighten bolt nut is weak and will break off with much force!
But it still "
Positive,Negative,4.0,"It was great, then it started to smell! But was sent a new one","It was great, then it started to smell! But was sent a new one. I went through so much to search and locate this dryer after the UPS driver had difficulties del"
Negative,Positive,1.0,One Star,One Star. Great price for the right item
Neutral,Positive,3.0,It barely fits,"It barely fits. It barely fits, I struggle to install it, but it works"
Neutral,Negative,3.0,Not too sure about this purchase...,Not too sure about this purchase.... Wheels fell off and won't stay on before we even used it.
Neutral,Positive,3.0,Elbows did not clear machine.,"Elbows did not clear machine.. Tested; no issues except if your inlet valve is recessed 3/4"" then the 90 degree elbows will not clear the machine.
I had to use "
Neutral,Positive,3.0,"Good tube, but buy different clamps","Good tube, but buy different clamps. The tube itself is great, and replaced my previous one perfectly. The connectors were very difficult to put on though. I wa"
Negative,Positive,2.0,Not universal,Not universal. Not universal
Negative,Neutral,2.0,Doesn't catch all the lint,"Doesn't catch all the lint. This thing sort of works, but unfortunately it most definitely does not catch all the lint.  It does catch quite a bit of it, but I "
Neutral,Positive,3.0,Ok but NOT ultra low temp.,Ok but NOT ultra low temp.. Sturdy and well built.  Very quiet.  But I bought it because it was advertised as ultra low temp and I can't get it below 38 degrees
Neutral,Positive,3.0,Decent,"Decent. Decent quality. Took a VERY LONG time to get this, which sucks."
Neutral,Positive,3.0,"filter fix for noise, vibration or low flow","filter fix for noise, vibration or low flow. These filters have a design flaw.  Sometimes they make noise, vibrate or have little flow.  This is due to the smal"
Neutral,Negative,3.0,Gasket is too large.,"Gasket is too large.. This is the second time I bought this filter for our fridge. Unfortunately, this will be the last time because the larger gasket is not th"
Positive,Negative,5.0,Expensive,Expensive. I think it filters the drinking water. How do you know it's not full of harmful unknown substances? You must trust so much!!! Plus they make you pay 
Negative,Positive,1.0,NOT A SELF CLEANING OVEN,NOT A SELF CLEANING OVEN. DO NOT BUY any Whirlpool range with aqualift oven cleaning if you don't want to go back to using Easy OFF and lots of elbow grease.  T
Neutral,Negative,3.0,Cutest things ever! Unfortunately does not deserve 5 stars ...,"Cutest things ever! Unfortunately does not deserve 5 stars .... Cutest things ever!
Unfortunately does not deserve 5 stars because de design doesnt hold up the "
Neutral,Positive,3.0,Expensive replacement part,"Expensive replacement part. Expensive piece of rubber.
I reused the broken one by tying black electrical tape around it."
Positive,Negative,5.0,Excellent filter; 3 month life; here's the issue...,Excellent filter; 3 month life; here's the issue.... The GE MWF refrigerator filter is an excellent filter rating NSF-53 which means it removes chlorine and par
Negative,Positive,2.0,not good bad taste my old on is better i should ...,not good bad taste my old on is better i should .... not good bad taste my old on is better i should have brought the original pay more . my old water  filter t
Negative,Positive,1.0,Empty boxes,Empty boxes. Box was empty!!!!!  Had to go get one locally.
Neutral,Positive,3.0,Good for 18 mos. maybe,Good for 18 mos. maybe. Worked well for 18 mos. Now runs slowly or not at all. This is my second one and the first one had the same problem.
Negative,Positive,1.0,Replacement  filters,Replacement  filters. I order 20 X 25 and I got 18 X 23. We will not order again and still need the filters.
Negative,Positive,1.0,Was not satisfied at all,Was not satisfied at all. No it didn't. It said it would go to my dryer model and it didn't. And there was no way for me to get ahold of anyone to try to return
Neutral,Positive,3.0,Average Construction Material,Average Construction Material. The vent arrived quickly and works relatively well. I would have preferred that it be more quality construction even if it was mo
Neutral,Positive,3.0,how do i wire this i forgot to take pictures ...,"how do i wire this i forgot to take pictures .... how do i wire this i forgot to take pictures, cant find the diagram anywhere.
my model is the hotpoint htdx100"
Neutral,Positive,3.0,lesser quality,lesser quality. This works but was a lesser quality than what was removed from my dishwasher.  Seems more flimsy.
Neutral,Positive,3.0,Not a direct replacement,Not a direct replacement. Even though it did the job. It was not the direct replacement that was cliaimed. A person with little mechanical knowledge would have 
Negative,Positive,1.0,Packaging doesn't look right,Packaging doesn't look right. The packaging is very different from the one I bought from Home Depot.
Neutral,Positive,3.0,May need a three solenoid cluster,"May need a three solenoid cluster. Not for my stackable LG.
Needed a three solenoid cluster."
Negative,Positive,2.0,Not for use as an alarm clock,"Not for use as an alarm clock. This is a good clock and weather monitor, but if you want to use this as an alarm clock, forget it.  It has a pitiful squeaky ala"
Negative,Positive,1.0,"Samsung Da29-oooo3G Aqua-Pure Plus Refrigerator Water Filter, 3-Pack","Samsung Da29-oooo3G Aqua-Pure Plus Refrigerator Water Filter, 3-Pack. I followed the procedure for filter cartridge installation and replacement. I could not ma"
Neutral,Negative,3.0,Had to create a gasket to make this filter work ...,Had to create a gasket to make this filter work .... Had to create a gasket to make this filter work without having an awful water hammer and slow flow.
Neutral,Positive,3.0,burner protectors,"burner protectors. I was not quite satisfied with this product.  I worked very diligently to cut the product to fit around the burners for each one, but I still"
Neutral,Positive,3.0,Does not make water taste better,"Does not make water taste better. I bought this because originally the water from my refrigerator had a very fresh taste to it, but replacing this cartridge did"
Neutral,Positive,3.0,I wish my Hyena was as nicely made as my hyena is that was made by ...,I wish my Hyena was as nicely made as my hyena is that was made by .... Very cute! I wish my Hyena was as nicely made as my hyena is that was made by the same b
Neutral,Negative,3.0,Outside of that it looks nice.,"Outside of that it looks nice.. I bought this washer from Sears in the store.  One week later waiting for delivery, they say the machine is not currently in man"
Neutral,Negative,3.0,Three Stars,Three Stars. It's too large and I need to return it.  How can I return it?
Negative,Positive,2.0,I installed this a few weeks ago. The rubber ...,I installed this a few weeks ago. The rubber .... I installed this a few weeks ago. The rubber on the drum roller is already rubbing off. I was stoked for fix m
Neutral,Negative,3.0,Three Stars,Three Stars. didn't fit
Negative,Positive,2.0,Two Stars,Two Stars. Not what ordered. Not for Frigidaire brand.
Negative,Positive,1.0,These did not meet quality of originals.,"These did not meet quality of originals.. This was not what I expected. The quality of these was not what the original was. They do not fit properly, once they "
Neutral,Positive,3.0,Three Stars,Three Stars. Not an original replacement as is made out to be. Seems to work okay.
Positive,Negative,5.0,The air filter did not fit into the holder - ...,The air filter did not fit into the holder - .... The air filter did not fit into the holder - what we had before was just a filter without the enclosure - it d
Negative,Positive,1.0,It worked however it broke my filter chamber. When ...,It worked however it broke my filter chamber. When .... It worked however it broke my filter chamber. When I took it out water exploded everywhere. My fridge no
Negative,Positive,1.0,Fabric softener dispenser,Fabric softener dispenser. There isn't any way to clean this out.  After several uses it gets nasty from the fabric softener.  They need to make it so the top c
Neutral,Positive,3.0,Expensive filter,"Expensive filter. Filter does what it is supposed to do, but the price has escalated to almost a painful amount!"
Neutral,Positive,3.0,Know what you need to filter out of your water before buying these filters,Know what you need to filter out of your water before buying these filters. A good reason why they are so inexpensive is that they fit but they just don't filte
Neutral,Positive,3.0,Awesome buy. Update upset,Awesome buy. Update upset. Love love love this little guy. Just right for my apartment. Im using a bucket and not the hose and it works ok. Not noisy. Works gre
Positive,Negative,4.0,I cook pretty much every day and bake breads every week so ...,"I cook pretty much every day and bake breads every week so .... Before I give my two cents on this range, I will say that our home builder chose the appliances "
Negative,Positive,2.0,Not for a older cooktop,Not for a older cooktop. These did not fit as expected. I was trying to  replace all four burner grates on a cooktop range. Although it was a Maytag they did no
Negative,Positive,2.0,used,"used. this product was used,i ordered new"
Negative,Positive,1.0,Too short,Too short. These bars are too short to use in a cabinet.
Positive,Negative,4.0,"NSF 42 & 53 filter, not check generic lables","NSF 42 & 53 filter, not check generic lables. Expensive, but make sure when comparing generic the NSF rating.  NSF 42 is really only for taste, ie chlorine and "
Neutral,Negative,3.0,Don't fit well,Don't fit well. Did not fit well. My old ones fit really well but they don't make ones that fit right now a days!!!
Neutral,Positive,3.0,Three Stars,Three Stars. It doesn't fit like the LG but seems connected so guess it is working.
Neutral,Positive,3.0,Good quality but not perfect,Good quality but not perfect. Hole is too small
Negative,Positive,2.0,This thing works... to a degree. ...,"This thing works... to a degree. .... This thing works... to a degree.  It started acting really wonky out of nowhere, for no reason one night.  Started making "
Neutral,Negative,3.0,Three Stars,"Three Stars. Looks great, but unfortunately does not fit my jen air cooktop. I will be returning them"
Negative,Positive,2.0,Not so good.,Not so good.. Magnet comes away from stove or away from guard.
Neutral,Positive,3.0,Not a standard size. Only fits the one brand of disposal.,Not a standard size. Only fits the one brand of disposal.. Not a standard size. Probably works well for the brand and model it was made for.
Neutral,Positive,3.0,Does what it was meant to do,Does what it was meant to do. A pretty basic kit that I would have made up myself had I known what was in it. You get 2 small brackets with a hole on each end a
Positive,Negative,5.0,"If this becomes available again, I suggest you snap one up","If this becomes available again, I suggest you snap one up. As of May 2015: I'm coming up on 2 1/2 years with this freezer, and it's still going strong! I have "
Neutral,Negative,3.0,"In fairness, I can't write a review for this ...","In fairness, I can't write a review for this .... In fairness, I can't write a review for this product because I could not get it in place. I did notice the mat"
Negative,Positive,2.0,We were able to make the part work and now ...,We were able to make the part work and now .... We were able to make the part work and now the washer works. When we received the part the black cover was crack
Negative,Positive,1.0,Not even close.,"Not even close.. These filters are not even close to being the size of what is required, I am not a fan at all."
Negative,Positive,1.0,NOT a replacement for Samsung Refrigerator!!,NOT a replacement for Samsung Refrigerator!!. NOT a replacement for Samsung Refrigerator!!
Neutral,Positive,3.0,Three Stars,Three Stars. they got the dryer working again. thanks
Positive,Negative,5.0,Five Stars,Five Stars. Had to return. wrong item.
