label,GradientBoosting_pred,overall,summary,text_preview
Neutral,Positive,3.0,Three Stars,Three Stars. Getting pricey!
Negative,Positive,2.0,"Borderline ridiculous disposable quality, overpriced.","Borderline ridiculous disposable quality, overpriced.. Frame thinner and flimsier from a paper prototype it was based on. Internal fasteners only symbolic tags,"
Neutral,Negative,3.0,So So.,So So.. This is a tricky one.  When it's in the shade it reads the inaccurate temperature outside.  It will be a blazing 100 degrees but will read 85.  Be sure 
Negative,Positive,2.0,What barn floor was this sitting on for years?,"What barn floor was this sitting on for years?. This new product came in a mashed, mangled,  beat-up box.  I wouldn't care of I bought it as ""new-old-stock"" but"
Neutral,Positive,3.0,"Seem to be good, but are they new?","Seem to be good, but are they new?. I was a little puzzled that even though they say to run 5 gallons of water through the filter before drinking, the first wat"
Negative,Positive,2.0,Flimsy-But works,"Flimsy-But works. When I received the item, it was packaged in a regular manilla envelope. Needless to say, it was slightly bent when it was received. It is ver"
Positive,Negative,5.0,i like ice,i like ice. turns water on and off
Negative,Positive,1.0,... item last year and all of the cartridges worked fine. But I bought them again in April and ...,... item last year and all of the cartridges worked fine. But I bought them again in April and .... I bought the 3-pack of this item last year and all of the ca
Neutral,Positive,3.0,Good,Good. Volumen of filtered water is not an accurate indicator of filter life. I have an inline filter ahead of the refrigerator and don't think I have to replace
Negative,Positive,1.0,Just horrible,Just horrible. Made of thin plastic and just barely covers.
Neutral,Positive,3.0,Three Stars,Three Stars. ge product is flimsy...but we really don't have choice.. and way too expensive for quality of material!
Neutral,Positive,3.0,durable magic washer,"durable magic washer. The magic washer is efficient, economical, and durable.  I highly recommend this washer especially for college students as well as to be u"
Negative,Positive,1.0,Used Part :(,Used Part :(. I expected to see a new probe and was/am more than a little upset that the one I received is used.  We are installing it anyway in the hope that i
Neutral,Positive,3.0,Had to run a lot of water through it before use,Had to run a lot of water through it before use. Water was a bit purple until ran about a gallon of water through the filter.
Negative,Positive,2.0,Two Stars,Two Stars. ok
Negative,Positive,1.0,Not so happy!!!,"Not so happy!!!. After I received the ice maker the harness was defective,then you send me new one,then after careful installation it made ice 3x cycle and then"
Neutral,Positive,3.0,I can't kill this thing,"I can't kill this thing. There are things I like about this thing and things I hate. First off it does what it should, washes small loads of clothes. It's been "
Neutral,Negative,3.0,Missing faucet hookups,Missing faucet hookups. Missing faucet hookups .... I paid more money for this one because it said it came with those.
Neutral,Negative,3.0,"nice, but....","nice, but..... the product is beautiful, but the box did not include any sort of warranty card or info, nor did it include seller contact info. i'd prefer to ha"
Negative,Positive,2.0,Two Stars,Two Stars. Nice idea; but the brush needs to be sturdier and it has almost no heat!
Neutral,Negative,3.0,"No instructions, but it worked.","No instructions, but it worked.. Here is how I repaired an old, leaky garbage disposal.

1. Removed old plate by unscrewing two screws.

2. Removed and threw aw"
Neutral,Negative,3.0,Three Stars,Three Stars. Didn't work for my setup
Positive,Negative,5.0,your optics are bad. Hilariously,"your optics are bad. Hilariously. Yup, that did it.

Tip: If you're not sure whether this is your problem, aim your mobile phone's camera at the emitter. You sh"
Neutral,Positive,3.0,It works great! I can taste a difference in the water ...,It works great! I can taste a difference in the water .... I ordered this water filter because of the price. It is about half the price of the filter for my ref
Neutral,Negative,3.0,"It was the wrong thing and I returned it, ...","It was the wrong thing and I returned it, .... It was the wrong thing and I returned it, but there was nothing wrong with it. I just didn't buy the correct prod"
Negative,Positive,2.0,Two Stars,"Two Stars. Worked well for a month or so, then it started making an awful noise when it made ice"
Neutral,Negative,3.0,Product fits - but should not fail before end-of-life on the dishwasher unless abused,Product fits - but should not fail before end-of-life on the dishwasher unless abused. After much back-and-forth over which basket to order (the number on the b
Negative,Positive,2.0,Two Stars,Two Stars. Would have given 1 star because the dryer does not spin but the heat works very well.
Neutral,Negative,3.0,"The part did work, but the plastic pieces were ...","The part did work, but the plastic pieces were .... The part did work, but the plastic pieces were to wide and we had to cut them down to fit into their slots."
Positive,Negative,5.0,Backup,"Backup. Didn't use, keeping as a back up and will most likely put them in the disposal unit when we decide to sell the house."
Positive,Neutral,5.0,Five Stars,Five Stars. Didn't fit as snug as the original but still got the job done!
Negative,Neutral,2.0,Two Stars,"Two Stars. Didn't fit, but I don't know if it is because we looked up the wrong item."
Neutral,Negative,3.0,I could only use the 2 small and one of ...,"I could only use the 2 small and one of .... I could only use the 2 small and one of the large, you should offer a choice as I have 3 small and one large on my "
Neutral,Positive,3.0,Five Stars,Five Stars. We purchased the laundry alternative mega spin dry on April 4th of 2017. It has a 3 year warranty. Something flew apart on inside and it smells hot.
Positive,Negative,5.0,Small,Small. I like this. Keep in mind it's small though. Thought it was big from the pictures. It's only about 4 inches squared.
Negative,Positive,2.0,Did not fit my Kenmore Elite model,Did not fit my Kenmore Elite model. This filter did not fit my Kenmore Elite refrigerator.  It is way too small and a totally different design.  I should have b
Neutral,Positive,3.0,Three Stars,"Three Stars. although the adhesive is advertised as high heat. The tube warns user ""not to use around heat""."
Neutral,Positive,3.0,Stay Away From This Manufactuer,"Stay Away From This Manufactuer. I bought three same stoves allow them, had the same problems
Company refuse to replace them or fix the problem with the some bu"
Negative,Positive,1.0,It has a small handle which seems like unnecessary. Be careful if you want to fit ...,It has a small handle which seems like unnecessary. Be careful if you want to fit .... the actual size of the egg holder is not the same as described. It has a 
Neutral,Positive,3.0,Three Stars,"Three Stars. Nice Product! But could be more cheaper, price is too High."
Positive,Negative,4.0,Fits my Waste King L-2600 disposal,"Fits my Waste King L-2600 disposal. I bought a Waste King L-2600&nbsp;<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/Waste-King-Legend-Series-1"
Positive,Negative,5.0,much better than the plastic junk that came with the microwave,"much better than the plastic junk that came with the microwave. Solid metal handle, much better than the plastic junk that came with the microwave."
Negative,Positive,1.0,Basically the legs were screws go inside were scratched against something hard like metal. Not sure how to tell that,Basically the legs were screws go inside were scratched against something hard like metal. Not sure how to tell that. Update: Fuse stopped to work after 3 month
Positive,Negative,4.0,Good product but throw away the wall adapter.,Good product but throw away the wall adapter.. The only issue with this kit is the wall adapter.  It should fit over the 4 inch duct coming out of your wall and
Positive,Negative,4.0,Not a bad lil guy,Not a bad lil guy. Many months later the lil guy is s I'll kicking. I thing on its original charge from the sat I got it. I use it on my laptop connected to my 
Neutral,Positive,3.0,Three Stars,Three Stars. Do not match the original color!
Negative,Positive,1.0,Filter not usable:,"Filter not usable:. The word ""Sears Kenmore"" used in the advertisement led me to order this filter for my ""Sears Kenmore"" Humidifyer. The trouble was that durin"
Neutral,Negative,3.0,Seems to work for now - Included documentation is inaccurate,Seems to work for now - Included documentation is inaccurate. Installed the clutch last night and so far it seems to be working okay.  It came with a one-page d
Neutral,Negative,3.0,company do sent a return sticker since order was wrong ...,company do sent a return sticker since order was wrong .... company do sent a return sticker since order was wrong. but take a little time to reimburse my money
Neutral,Positive,3.0,Acceptable alternative,"Acceptable alternative. This product works on the Holmes humidifier, however the filter is backed with a metal mesh for support.  The filter fabric seems to dry"
Negative,Positive,2.0,Two Stars,Two Stars. Very loud
Negative,Positive,2.0,Two Stars,Two Stars. don't fit and fall off
Neutral,Negative,3.0,The product arrived intact and on time. I purchased ...,The product arrived intact and on time. I purchased .... The product arrived intact and on time.  I purchased three devices simultaneously to track temperature 
Neutral,Positive,3.0,The usual crappy China quality but fits the immediate need,The usual crappy China quality but fits the immediate need. China quality but usable
Negative,Positive,1.0,not very good ice maker,not very good ice maker. it does not make separate ice it comes out as a block of ice if I wanted that I would just put a bowl of water in the freezer
Neutral,Positive,3.0,a bit disappointing,"a bit disappointing. Bought the vent cover because we had birds flying in and out of old vent.  This vent prevents birds from entering, but the outer frame cove"
Neutral,Positive,3.0,Three Stars,Three Stars. Not exactly form fitting.  They slide around a lot.
Negative,Positive,2.0,big BTU burner a let down,"big BTU burner a let down. we have had this range for a while now.  For the most part it is fine, but the big 18K BTU burner is a let down.  Even with a stock p"
Neutral,Positive,3.0,Faulty Filters,"Faulty Filters. Item was delivered quickly and replaced quickly for free.  However, this was a replacement filter for one I had ordered earlier.  Both filters c"
Negative,Neutral,2.0,Two Stars,Two Stars. Flimsy. Doesn't have the blue wrapping as shown
Neutral,Positive,3.0,works,"works. This product works.  I had trouble because my stove was tighter on one side, so it did not fit in as well.  But that was not the products fault.  The onl"
Neutral,Positive,3.0,Usually a great filter,Usually a great filter. I have purchased several of see from this seller and always been happy with the product. This past purchase not so much. After installin
Negative,Positive,2.0,not  necessary to change filter as often as they say,"not  necessary to change filter as often as they say. You're better off just washing and re-using the mineral pad until it is really spent, or using distilled w"
Negative,Positive,1.0,This is not OEM! The filter was the same ...,"This is not OEM! The filter was the same .... This is not OEM!  The filter was the same size as the opening, ie too small.  So not EOM product."
Negative,Positive,1.0,"Completely useless, for one the hose is not long enough ...","Completely useless, for one the hose is not long enough .... Completely useless, for one the hose is not long enough to get to the top of a standard dryer, and "
Neutral,Positive,3.0,Thick and goopy I gave up the dishwasher rack use and used it on my in-sink dish drainer.,"Thick and goopy I gave up the dishwasher rack use and used it on my in-sink dish drainer.. Goopy and similar to very old, very thick nail polish, I realized it "
Negative,Positive,1.0,Didn't work,"Didn't work. Doesn't work in our refrigerator.  It fits in fine, but the water will not dispense with this filter in.  We put water in the filter, and it will o"
Negative,Positive,2.0,Two Stars,Two Stars. The filter was too long for my kitchenaid fridge. I'm using it but cannot put on the cover
Positive,Negative,5.0,Works Very Well!,Works Very Well!. I read a lot of reviews that said the thermometer and hygrometer were inaccurate. I tested the hygrometers for both the inside and outside uni
Negative,Positive,1.0,we ran the water for the recommended length of time,"we ran the water for the recommended length of time. Tried both filters in the set, but they both decreased the water speed by so much, that we had take them ou"
Neutral,Positive,3.0,"Fits, but Noisy","Fits, but Noisy. Part fit just fine.  Installation not for the faint of heart.  Pump is nosier than original pump, we'll see how long it lasts."
Negative,Positive,1.0,"seems to be working fine, but feel like it's a used product instead ...","seems to be working fine, but feel like it's a used product instead .... I had seen some reviews that said it arrived scratched, but this was not only scratched"
Neutral,Negative,3.0,Excellent... while it lasted.,Excellent... while it lasted.. I purchased one from Target for $109 2 years ago.  All worked well until one day I noticed no ice... after examining the machine 
Positive,Negative,4.0,"Great, except for one glitch","Great, except for one glitch. Possibly Frigidaire has remedied the issue by now, but ours would build up ice in the defrost drain tray and eventually require a "
Neutral,Positive,3.0,The lights are great although we just had one burn out and they ...,"The lights are great although we just had one burn out and they .... Decent looking hood, not quite strong enough to really ventilate but works for light cookin"
Negative,Positive,1.0,"All voltages are good, so its the part for sure","All voltages are good, so its the part for sure. Lasted about a month. Same issue. All voltages are good, so its the part for sure. Bought it on October 26, its"
Positive,Negative,4.0,Needs instructions,"Needs instructions. Requires you to wire it properly, which I had to look of the instructions, but it is a solid design."
Neutral,Positive,3.0,Three Stars,Three Stars. Not the same quality (metal guage) as previous purchases from you.
Neutral,Negative,3.0,Double Tower Setup,"Double Tower Setup. I would echo what I read in a lot of reviews, it doesn't keep beer that cold.

My big complaint is that you can't customize this kegerator t"
Positive,Negative,4.0,"It had a bigger dent than the information said, ...","It had a bigger dent than the information said, .... It had a bigger dent than the information said , but we were abie to fix the bigger ones and hide the other"
Negative,Positive,1.0,Fit and worked perfectly. For the price it was ...,"Fit and worked perfectly. For the price it was .... I had rated this a 5 previously for the time and effort it saved. Worked great, now 3 months in and I am pas"
Neutral,Positive,3.0,"Extremely labor-intensive, and effective. Ties clothes in knots. High water and detergent usage. Incredible but fussy spinner.","Extremely labor-intensive, and effective. Ties clothes in knots. High water and detergent usage. Incredible but fussy spinner.. This appears to be identical to "
Negative,Neutral,2.0,Very Hard to actually use.,"Very Hard to actually use.. The product  may work OK, but the packaging is terrible. It's virtually impossible to pour with out spilling. That's not a good thin"
Positive,Negative,5.0,This is made well. High quallity. Not flimsy ...,This is made well. High quallity. Not flimsy .... This is made well.  High quallity.  Not flimsy.
Positive,Negative,5.0,Buy these bearings!,"Buy these bearings!. High quality product. Do not waste your time trying to save $30-$40. I bought the cheap bearings last year, and wish I would have bought th"
Neutral,Positive,3.0,Good Generic Alternative,"Good Generic Alternative. Worked as a good generic option to the OEM version which costs 40 a piece. This product does the job. At first installation, the water"
Negative,Positive,2.0,Water taste great though.,Water taste great though.. Either our ice maker is leaking or these filters leak. Water taste great though.
Negative,Positive,1.0,"Looks good, functions poorly","Looks good, functions poorly. Bought this because of all the high reviews.  Install was fairly quick and easy; it was a good match for the 30"" space, constructi"
Negative,Positive,1.0,cabrio,"cabrio. be warned about this washer, it is a lemon!!! it does not get the clothes clean, it is because there is not enough water in the machine and there is not"
Positive,Negative,5.0,"These can ""crank down"" on metal flex hoses.","These can ""crank down"" on metal flex hoses.. I just wanted something that could be tightened enough to actually seal the metal flex vent hoses.  The nylon clamp"
Negative,Positive,1.0,"advertised for my dryer, it is not the correct ...","advertised for my dryer, it is not the correct .... advertised for my dryer ,it is not the correct part. I have to try to sell to someone else cause i would be "
Positive,Negative,4.0,As described. Filled the space,As described. Filled the space. Product did what the description said it would.  Very simple.
Negative,Positive,2.0,Not very pleased,"Not very pleased. I just realized how to leave feedback on my orders.  The filter is ""ok"", and we are using it, but I will not buy again.. This is not a replace"
Neutral,Positive,3.0,safe plastics?,"safe plastics?. I don't own it, but I must say how hilarious it is to say its BPA free ""material"" without telling you what it is made of. How do we know it does"
Negative,Positive,2.0,Two Stars,Two Stars. Loose fit and continuously slides down the refrigerator doors.
Positive,Negative,5.0,Tasty water once again!,"Tasty water once again!. It was so easy to install and after draining my water from the dispenser as directed, it worked immediately!! The water was not drinkab"
Negative,Positive,1.0,Worked fine for the first few minutes then after it cooled ...,Worked fine for the first few minutes then after it cooled .... Worked fine for the first few minutes then after it cooled off to around 35 outside the humidity
Positive,Negative,5.0,Ordered it along with aprilaire 4655 humidistat for my aprilaire ...,Ordered it along with aprilaire 4655 humidistat for my aprilaire .... Ordered it along with aprilaire 4655 humidistat for my aprilaire 700 humidifier. Got it in
Neutral,Positive,3.0,Water filter,Water filter. Water tastes good however this is not equal to the Samsung original filter which removes more particulates  This filter only states the removal of
Positive,Negative,4.0,Range Kleen 680 Plastic Kleen Seam,"Range Kleen 680 Plastic Kleen Seam. Although it don't fit as well as I would have liked it to, It keeps food particles and liquids from getting between the stov"
Neutral,Positive,3.0,Diameter undersized,"Diameter undersized. The diameter is a bit small, so i had to stretch the filter to get the humidifier to close."
Neutral,Positive,3.0,but I would have been better off with the Watts D60U kit,"but I would have been better off with the Watts D60U kit. You will need this for some dishwashers, but I would have been better off with the Watts D60U kit. Tha"
Neutral,Negative,3.0,"Second in four years, not impressed","Second in four years, not impressed. My condenser fan went out back in 2010 and I replaced it with this unit. Fast forward to 2012 and here I am replacing it ag"
Negative,Positive,2.0,Two Stars,Two Stars. Our fridge was listed as one of the compatible models but it is too small
Neutral,Positive,3.0,Ok Fan,Ok Fan. My old Sears Kenmore top freezer refrigerator in the garage was squealing in the afternoon.  I located the loudest sequealing coming from the freezer co
Positive,Negative,5.0,Happy With Purchase,"Happy With Purchase. I saw other reviews that said they received a different relay than what is pictured, so I purchased the relay directly from Amazon and rece"
Neutral,Positive,3.0,Good quality and installed perfectly.,Good quality and installed perfectly.. Parts worked out perfect for the up-keep of my dryer.
Positive,Negative,5.0,No worries,No worries. No worries with this item. Decided to go with a genuine part because of increased/higher filtering standard certification.
Neutral,Negative,3.0,Ill only use whirlpoolwater filter.,"Ill only use whirlpoolwater filter.. Did not like this filter.  When we replaced the water filter with this, what looked like paper floated around in the water."
Negative,Positive,2.0,Perfect fit - but still expensive for what it is ...,Perfect fit - but still expensive for what it is .... Perfect fit - but still expensive for what it is - and because of the all plastic design is still suscepti
Negative,Positive,2.0,Little loose then original,Little loose then original. Little loose then original
Neutral,Positive,3.0,Fixed it with some supper glue and all better. Otherwise works great,Fixed it with some supper glue and all better. Otherwise works great. Cute sign. Only problem is the sign kept falling off the magnate onto the floor. Fixed it 
Positive,Negative,5.0,I wish I found this sooner,"I wish I found this sooner. <a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/Whirlpool-31464-Cooktop-Cleaner-10-Ounce/dp/B000UW0IR8/ref=cm_cr_arp"
Negative,Positive,2.0,Two Stars,Two Stars. They are upside down...
Neutral,Positive,3.0,"Works well, but I find the screen to be very dark and hard to read.","Works well, but I find the screen to be very dark and hard to read.. Works well, but I find the screen background to be very dark and therefore hard to read the"
Neutral,Negative,3.0,Not what they going to be,Not what they going to be. Not what they going to be
Positive,Negative,5.0,Overall cooks and cleans well,"Overall cooks and cleans well. After more than a year of heavy use (we cook ever day), it is holding up nicely. The only thing I do not like is once the oven ge"
Negative,Positive,1.0,"While it worked it was great, made more than enough ice with no problems","While it worked it was great, made more than enough ice with no problems. In less than 2 months it stopped working.  Received it on Sept 08, 2017, stopped worki"
Neutral,Positive,3.0,These do not fit very well. They're just a ...,"These do not fit very well. They're just a .... These do not fit very well. They're just a little off, causing the pans to tilt slightly. Since I have an older "
Neutral,Positive,3.0,Three Stars,"Three Stars. Probably would have been fine, but events overtook us and wound up sending it back."
Neutral,Positive,3.0,Not a a Whirlpool part,"Not a a Whirlpool part. I received the element quickly, but when I opened the box I noticed the heating element had no part number and was stamped only with the"
Negative,Positive,2.0,Two Stars,Two Stars. Don't install lint mesh... it gets clogged withing a few weeks.
Neutral,Positive,3.0,Three Stars,Three Stars. Very thin material can crumple up if too much load is put on them. Second set!
Positive,Negative,5.0,Not right size,Not right size. One size does not fit all disherwashers. This was  not the right size. I have returned it.
Neutral,Positive,3.0,Great for hand washables too,"Great for hand washables too. OK, I am loving this nifty little machine, so glad I bought it. It is not difficult to use tho you can't set it and walk away, it "
Negative,Positive,1.0,Guaranteed to work or money back,Guaranteed to work or money back. Worked great for a few weeks then quit. It was guaranteed so I sent it back. Bought a new stove.
Negative,Positive,2.0,Puddles,Puddles. We loved the look of this refrigerator.  The glass shelves are great and you can pack a ton of food/drinks into it.  We plugged it in on Wednesday and 
Negative,Positive,2.0,"The product seemed carelessly made, thin and flimsy. ...","The product seemed carelessly made, thin and flimsy. .... The product seemed carelessly made, thin and flimsy. It required trimming and fitting. In future, the "
Neutral,Positive,3.0,Three Stars,Three Stars. ok
Neutral,Positive,3.0,The product is great but the fit is a bit awkward for my ...,The product is great but the fit is a bit awkward for my .... The product is great but the fit is a bit awkward for my stove/countertop. As this product is soli
Negative,Positive,2.0,"Wrong temperature, nice case","Wrong temperature, nice case. 2% error rate (higher temp)(lower humidity) makes this instrument less useful. Wish there was a way for me to adjust because it's "
Negative,Positive,2.0,... started using this ice machine Christmas Eve it works fine but yesterday noticed it iarrived damaged see,... started using this ice machine Christmas Eve it works fine but yesterday noticed it iarrived damaged see. I opened and started using this ice machine Christ
Neutral,Positive,3.0,Whirlpool fridge filter works but expensive.,Whirlpool fridge filter works but expensive.. Great taste for our fridge water. Unfortunately with this new style the price went way up. No noticeable change in
Negative,Positive,1.0,First impression - Fail,First impression - Fail. Purchased a house with one installed.  It takes forever to boil water.  The glass control panel shattered on its own (no joke... nobody
Neutral,Positive,3.0,Short-term normal quality washer.,"Short-term normal quality washer.. Hard to use, but can be helpful for casual use. not for the large amount of clothes. If you want to buy long-term washer it's"
Negative,Positive,2.0,FATAL FLAW,"FATAL FLAW. First, I give the unit two stars because it works and it pulls a lot of air. It has worked for us since 2009 and only recently the light bulbs faile"
Negative,Positive,1.0,Avoid GE Fridges That Require This Filter,"Avoid GE Fridges That Require This Filter. My wife wanted to buy a top end GE, and we did.  Unfortunately, the top end GEs now require a water filter with an RF"
Positive,Negative,4.0,Weak handle,"Weak handle. The handle is weak,  it can be removed with a screwdriver defeat the purpose of locking the freezer."
Neutral,Positive,3.0,Fits but not quite the same,Fits but not quite the same. I ordered a water filter hat was described as being the same as the Kenmore model.  It was significantly less expensive.  While it 
Neutral,Positive,3.0,16 Pack of WB02T10461,"16 Pack of WB02T10461. Bought these to replace the ones that came with our stove, but they melted like the originals on by the hottest burner on the cook top.  "
Negative,Positive,1.0,I recommend against this range,"I recommend against this range. I recommend against this range. If you use the stove top and oven at the same time, hot air blows out the front of the unit onto"
Negative,Positive,1.0,Cheaply made,"Cheaply made. Flimsy and missing parts, not very nice"
Negative,Positive,1.0,0 Stars,0 Stars. Bought 3 filters  installed the first one and it Makes the water pressure very weak month later Changed the 2nd  filter again  same result bought anoth
Negative,Positive,1.0,DO NOT BUY this dryer or set,"DO NOT BUY this dryer or set. I buy the this dryer, and within 2 years, I have replace the thermostat once ($20 value), and the heater element twice ($216 value"
Negative,Positive,1.0,Died after almost 2 years,Died after almost 2 years. It was great while it lasted. I liked the easily washable filter but it is very LOUD at anything higher than the lowest setting. Afte
Negative,Positive,1.0,"DANGEROUS, AVOID","DANGEROUS, AVOID. RE: JGP940BEKZBB

One flame was on, went to turn on a 2nd flame and boooooom!  Fire shot out and burned my hand and the handles shot off like "
Positive,Negative,5.0,they work well,"they work well. paper lined with a thin sheet of plastic - i was skeptical. Have been happily proved wrong...these bags don't leak or break through, and i've tr"
Negative,Positive,1.0,It was first time buying this.,It was first time buying this.. It was first time buying this. I thought it was going to change a bit the taste our water instead it was the same
Neutral,Positive,3.0,The samsung filter made the water taste much better.,The samsung filter made the water taste much better.. It fits right but the water tastes the same as what comes out of the faucet. The samsung filter made the w
Negative,Positive,1.0,good price but didn't last long,good price but didn't last long. This unit was cheaper than the others available on amazon but turned yellow and started emitting an odor within a few days.  I 
Neutral,Positive,3.0,Three Stars,Three Stars. When it arrived it was badly damaged
Negative,Positive,2.0,Product should have been made in a T shape rather ...,Product should have been made in a T shape rather .... Product should have been made in a T shape rather than an L shape.  Food particles can still get lodged b
Neutral,Positive,3.0,It's a filter.....,"It's a filter...... Duh, its a filter, what can you say about it.... and I own an HVAC business!!  Works as it should!!???"
Neutral,Negative,3.0,Not the easiest to set up.,"Not the easiest to set up.. Once I got this ice-maker going, everything was fine.

For some reason, the valve that was included didn't match the drawings in the"
Negative,Positive,1.0,One Star,One Star. Good product and fast shipping.  It was evere thing just as advertised
Negative,Positive,1.0,Works great not anymore,Works great not anymore. It is working great. We like it a lot. Thank you Keith It's broken less than one year. The flap node broke no more ice. Spent to much. 
Neutral,Positive,3.0,Three Stars,"Three Stars. not as good as the original, but a good cheap alternative."
Neutral,Positive,3.0,Humidifier water treatment,"Humidifier water treatment. seemed to work ok, still get some bacterial growth on the wick filter but not as much, it does help eliminate order and does aid in "
Positive,Negative,5.0,"NOW I KNOW IF IM WET, NORMAL OR DRY","NOW I KNOW IF IM WET, NORMAL OR DRY. SEEMS TO BE A SOLID PRODUCT I BOUGHT THIS TO PUT IN OUR CAMPER HERE IN OREGON HAVENT GOT TO GO CAMPING YET LAST YEAR MOISTU"
Negative,Positive,2.0,Overpriced and inadequate,"Overpriced and inadequate. I purchased a set of Amana stackable washer/dryer 2nd hand (craigslist), but the seller used them as side by side, so I did a search "
Neutral,Positive,3.0,"Looks good. Easy DIY Install, Fan is LOUD any setting.","Looks good. Easy DIY Install, Fan is LOUD any setting.. Plastic vent is 6 not 8  Looks good, easy install. Fan is loud any setting."
Neutral,Positive,3.0,Kenmore heating element and thermostat,"Kenmore heating element and thermostat. The Element was fine, the thermostat was a
problem had to cut and splice too many wires. I still had to purchase another"
Neutral,Negative,3.0,Noisy Filter,Noisy Filter. Somehow this filter is noisy when dispensing water (or ice maker is engaged). It's loud enough to be annoying and reason to not purchase again. No
Neutral,Positive,3.0,not perfect.,"not perfect.. Fits but, not perfect."
Negative,Neutral,2.0,don't waste you time,"don't waste you time. Don't waste your money,you need the model number,it's ok for the price,but it didn't fit my oven right,it wouldn't go in all the way(neith"
Negative,Positive,1.0,NO Stars!,NO Stars!. I just received this yesterday and it is a piece of garbage. Period.  There is no way this is a replacement for the original Honeywell. It barely sta
Negative,Positive,1.0,Zero stars,Zero stars. Agreed with Betty not universal at all already cut it t fit what to do now also the gaskets purchased for specific models didn't fit either
Negative,Positive,2.0,I bought these to replace the gasket of our freezer ...,"I bought these to replace the gasket of our freezer .... I bought these to replace the gasket of our freezer.  They arrived all kinked and, even after soaking t"
Negative,Positive,2.0,I hate my washer,I hate my washer. I purchased 3 of these for my stupid washer. I don't know if it's the washer or the bellow. But where the gussets are where the drain is at th
Neutral,Negative,3.0,Not sure I would buy this again.,"Not sure I would buy this again.. Items were sent in a timely manner.  However, I thought the items were dishwasher proof but the plain pan started to crinkle a"
Negative,Positive,1.0,The worse purchase I've ever made.,The worse purchase I've ever made.. I live in an apartment. The first thing I thought when I saw this was that looks like it would work for me and it has four s
Neutral,Negative,3.0,worked very well,"worked very well. But for only 14 months, which doesn't seem long enough. To be fair though, we DO use a lot of ice (3 people)"
Neutral,Positive,3.0,filter o ring,"filter o ring. i recieved the product, if it was the right one i would love it.  It was a little too big and too thin. but thats ok i will just keep it someone "
Neutral,Positive,3.0,Needs Some Headroom...,"Needs Some Headroom.... These work as an odor filter as long as they don't get clogged with grease vapors.
I also had a problem when I installed a new filter..."
Negative,Positive,2.0,For the price I expected much better ice. The ice melts the moment you pour ...,For the price I expected much better ice. The ice melts the moment you pour .... For the price I expected much better ice. The ice melts the moment you pour a l
Neutral,Negative,3.0,Does not have screw holes/pre-crimpped connectors,Does not have screw holes/pre-crimpped connectors. Product does not have screw holes to readily install once received.  Wire connectors are required to be crimp
Negative,Positive,2.0,Two Stars,Two Stars. Inner gear dimensions do not match factory specs.  Had to use old sprocket.
Negative,Positive,1.0,The part worked fine. Getting the refund back after being promised that ...,The part worked fine. Getting the refund back after being promised that .... The part worked fine. Getting the refund back after being promised that I would rec
Neutral,Positive,3.0,Packaging a problem,"Packaging a problem. I was happy to find filters that fit my down draft Jennair range. The product is fine, the price is fine BUT the packaging was flimsy and r"
Negative,Positive,1.0,My hair looks worse after using it,"My hair looks worse after using it. This is not worth the money, doesnt do what it is suppose to. My hair looks worse after using it."
Positive,Negative,5.0,Worked well. Don't forget to put a little more ...,Worked well. Don't forget to put a little more .... Worked well. Don't forget to put a little more grease on the bearing in the back whe you put everything toge
Neutral,Positive,3.0,"Didn't solve my issue, but CS was good","Didn't solve my issue, but CS was good. It worked great at first. Was able to run a load, but than a few weeks later it started doing the same thing as before ("
Negative,Positive,2.0,it works but the water does not taste good. I follow the instruction and even ran more ...,it works but the water does not taste good. I follow the instruction and even ran more .... it works but the water does not taste good. I follow the instruction
Neutral,Positive,3.0,So far so good.,So far so good.. Hopefully long term use will provide desired and advertised results. So far so good.
Neutral,Negative,3.0,Disappointment not expected,Disappointment not expected. I received my new Maytag Centennial washer as a Christmas gift from our daughter. I was so excited to get a new washer with high ca
Negative,Positive,1.0,I thought this attachment would be great. Nope,I thought this attachment would be great. Nope. I thought this attachment would be great. Nope. I now have oil/grease stains all over my clothes from the fabric
Positive,Negative,5.0,I am delighted with this washer,I am delighted with this washer. I am delighted with this washer. M only regret is that I did not purchase the larger model: one cubic foot is small!
Negative,Positive,1.0,Do not buy an appliance from Fisher Paykel,"Do not buy an appliance from Fisher Paykel. I spent a great deal of money on what I had been led to believe was a quality product, but I have had nothing but pr"
Negative,Positive,2.0,but they didn't have the outside felt like exterior like the original,"but they didn't have the outside felt like exterior like the original. Can't give any fair assessment. Received filters, but they didn't have the outside felt l"
Positive,Negative,4.0,but it does look like a quality part,"but it does look like a quality part. This is just what I was looking for. It was a bit more expensive than I expected, but it does look like a quality part. I "
Neutral,Positive,3.0,Wrong and missing parts,Wrong and missing parts. I am giving this 3 stars because it does not come with all the parts needed to install to your fridge. The piercing saddle has instruct
Neutral,Positive,3.0,Great machine if it didn't leak...,"Great machine if it didn't leak.... So far a good machine. However, the instructions are extremely lacking. First there was a plug in a package but there was no"
Positive,Negative,5.0,"My to rack doesn't fall out any more, so ...","My to rack doesn't fall out any more, so .... My to rack doesn't fall out any more, so it works. This is actually an upgrade to the original rack brackets becau"
