label,MLP_pred,overall,summary,text_preview
Neutral,Positive,3.0,very small - almost didn't fit in the humidifier,"very small - almost didn't fit in the humidifier. For the price, I wanted to take the chance and order these for my Vicks cool mist humidifier since the name br"
Negative,Positive,2.0,"would love to give this LRE3083ST 5 stars, Beware LG Small burners not rated like other stoves..","would love to give this LRE3083ST 5 stars, Beware LG Small burners not rated like other stoves... LRE3083ST - great features. Would be a great stove, not so muc"
Neutral,Negative,3.0,Beware - not a replacement lock,"Beware - not a replacement lock. If you have an existing door with a typical doorknob lock, this is *not* designed to replace it.  I did manage to jury rig one "
Negative,Positive,2.0,Two Stars,"Two Stars. Installed this like the instructions required. Still leaks.
Cleaned the door surface seemed to help but still leaks sometimes."
Positive,Negative,5.0,The start device on my Thermador KBURT3661A02 built-in refrigerator began ...,The start device on my Thermador KBURT3661A02 built-in refrigerator began .... The start device on my Thermador KBURT3661A02 built-in refrigerator began clickin
Neutral,Positive,3.0,Three Stars,Three Stars. I bought the wrong size..so I am unable to use these.
Negative,Positive,2.0,only got half my order,only got half my order. the dogs fit and are performing right now the only problem was i paid for two sets and only got one
Neutral,Negative,3.0,"Check your part, the part number, and the picture. Maybe call to confirm?","Check your part, the part number, and the picture. Maybe call to confirm?. My dryer called for a WE3X37. The paperwork (tucked inside the dryer at the factory) "
Negative,Positive,1.0,I don't know if the parts are good.. I installed them and the compressor still ...,I don't know if the parts are good.. I installed them and the compressor still .... I don't know if the parts are good ..I installed them and the compressor sti
Positive,Negative,4.0,These came on time. Although they are the proper ...,"These came on time. Although they are the proper .... These came on time.  Although they are the proper size, they were folded into a small envelop, which left "
Neutral,Positive,3.0,Great for the price. My stream is very weak,Great for the price. My stream is very weak. The instructions were clear and simple! Only thing the stream is so weak.  Maybe I have yo go back to the Samsung b
Negative,Positive,2.0,YOU GET WHAT YOU PAY FOR!,"YOU GET WHAT YOU PAY FOR!. Initially, I almost returned it, but to send it back would cost more than it actually cost to purchase.  Biting the bullet, I had it "
Neutral,Positive,3.0,I fixed my oven...hurrah  OOPS Spoke too fast,"I fixed my oven...hurrah  OOPS Spoke too fast. I was able to fix my oven over the doubts of my wife. So there sweety.  Works better than ever.  It's easy to do,"
Neutral,Positive,3.0,An ok washer,An ok washer. An ok washer for maintaining in between washes. I purposely bought this because as a stay at home mother i don't usually have anyone to watch the 
Negative,Positive,2.0,Cloudy water... then it was just fine. Then it broke and needed to be removed.,Cloudy water... then it was just fine. Then it broke and needed to be removed.. UPDATE September 2017: We purchased a replacement filter of the same type. The o
Neutral,Positive,3.0,good product,"good product. good for the price, fan a little loud.  Wish the inside was stainless steel too instead of black but overall a good product."
Negative,Positive,2.0,Works...but not happy,"Works...but not happy. The parts kit was all there and it seems to work ""fine"" after installing.
The roller does seem to be too big (another reviewer mentioned "
Positive,Negative,5.0,This Is One of Those Items I Hate to Spend Money On,This Is One of Those Items I Hate to Spend Money On. I learned the hard way and didn't replace my original filter in the six month period recommended. It cracke
Positive,Neutral,4.0,"Except the packing, the part works","Except the packing, the part works. The item doesn't have that brand new part's looking as an electronic component, but works all fine"
Neutral,Positive,3.0,Three Stars,Three Stars. works but was not easy to install as it was a bit too long for the docking station
Neutral,Positive,3.0,"Not a ""fan""","Not a ""fan"". Not liking these too much. Very chintzy, fell apart in shipping and could not put back together because the screw was stripped out. All the little "
Neutral,Negative,3.0,... What???,"... What???. ""Does not remove minerals which may be beneficial to health such as fluoride.""

I don't expect a fridge filter to remove fluoride (even though it w"
Negative,Positive,2.0,This item is not as good as the original,This item is not as good as the original. This item is not as good as the original. Very hard to clean. In fact you cannot clean all the lint off this item.
Neutral,Positive,3.0,Just keep looking.....,"Just keep looking...... First off, it's very pretty and I'm excited to be using a gas range, finally..... Being only 30"" - it's not big enough.  But if that's w"
Negative,Positive,1.0,Was hard and sort of calcified or something when I ...,"Was hard and sort of calcified or something when I .... Was hard and sort of calcified or something when I got it, ended up having to go out to get another one "
Negative,Positive,2.0,Plastic oven knobs melt.,Plastic oven knobs melt.. Still made of plastic.  Who makes a knob that sits above the door of an oven out of plastic.  The original had to be replaced because 
Positive,Neutral,4.0,Four Stars,Four Stars. too small
Positive,Negative,5.0,Identical info,Identical info. I must be lucky. Both of mine shows the same info.
Positive,Negative,5.0,Five Stars,Five Stars. Didn't fit return well
Negative,Positive,1.0,I thought it might be a bad fill valve or clogged water line but the water ...,I thought it might be a bad fill valve or clogged water line but the water .... Hello.  The top ice maker in my Samsung RFG298HDRS refrigerator started leaking 
Negative,Positive,1.0,Product leaks,Product leaks. Installed  the replacement part and it leaks from ice maker inlet I wonder if it's new as described.
Neutral,Positive,3.0,Not so good! Until you remove the shroud.,Not so good! Until you remove the shroud.. The mesh shroud kept getting clogged up. I took that off and now I'm happy with it. I never had a critter go into the
Positive,Negative,4.0,Works as designed,Works as designed. It's working as designed. It's pretty flimsy plastic so be gentle and don't let things hit it.
Positive,Negative,4.0,Four Stars,Four Stars. This screen had a small tear within two weeks.  The screen near the edges is weak.
Neutral,Negative,3.0,The parts arrived damaged!,"The parts arrived damaged!. I bought this product and I love it, it is very beautiful to look at and adds a lot of class and style to my kitchen BUT beware beca"
Neutral,Positive,3.0,PRICY,PRICY. Exact replacement for original but was VERY pricy.
Negative,Positive,2.0,Two Stars,Two Stars. Not happy with the taste of the water. GE filter is much better.
Neutral,Positive,3.0,Three Stars,Three Stars. Loved it.
Neutral,Positive,3.0,NuTone Rnage hood filters,"NuTone Rnage hood filters. The replacement filters are fine. They a little flimsier than the orignal filters I had but seem to do the job.

The mailing of the f"
Negative,Positive,2.0,Good icemaker replacement until it got stuck in water fill cycle,Good icemaker replacement until it got stuck in water fill cycle. It took about 15 minutes to remove the original icemaker that had stopped working and install 
Positive,Negative,4.0,... need this product if you broke your sensor pressure like I did,... need this product if you broke your sensor pressure like I did. You need this product if you broke your sensor pressure like I did.  This product work as ad
Negative,Positive,1.0,... bought these in the past and they fit just fine. I reordered the filters again,... bought these in the past and they fit just fine. I reordered the filters again. I've bought these in the past and they fit just fine. I reordered the filter
Negative,Positive,1.0,The Excelpure EP-RPWF water filter I ordered does not have this microchip thus rendering the filter useless.,The Excelpure EP-RPWF water filter I ordered does not have this microchip thus rendering the filter useless.. Filter did not meet my expectations account GE put
Neutral,Positive,3.0,Not the same as in the past,Not the same as in the past. I have been using these humidifiers for quite a number of years now.  For health reasons I use my humidifier year round to maintain
Neutral,Negative,3.0,It is ok,It is ok. I use only one with high heat thermostate. the Second part was different that what is show in pictures but i did not use it. when I did littel researc
Neutral,Negative,3.0,it doesn't fit my Samsung RF267ERS fridge.,it doesn't fit my Samsung RF267ERS fridge.. it doesn't fit my Samsung RF267ERS fridge.
Negative,Positive,2.0,Two Stars,Two Stars. Hole for the burner is too large . Leaves a lot of stove top exposed .
Negative,Positive,2.0,NOT NSF 42 and 53 certified!,"NOT NSF 42 and 53 certified!. Read carefully. This filter is not NSF 42 and 53 certified, though the manufacturer is doing some verbal gymnastics to make it see"
Positive,Negative,5.0,Happy with my purchase!!!,Happy with my purchase!!!. When I initially installed the filter I noticed that water was dripping for couple of days and I was concerned that I got the defecti
Neutral,Positive,3.0,They do what they promise...for three times the price...,They do what they promise...for three times the price.... Mixed review here. I should start by saying that I did not want to purchase this item. The filter in o
Negative,Positive,1.0,looks like the dry spinner is a well known issue for ...,"looks like the dry spinner is a well known issue for .... the machine is defective right out of box, the dry spinner never spin. Contacted the seller, got repli"
Neutral,Positive,3.0,Serves its purpose,Serves its purpose. The one I replaced was of better quality.  I wish I thought about boiling out the grease from the dirty filter in a large pot with baking so
Negative,Positive,1.0,Useless,Useless. Bought it to prevent white dust from my Venta humidifier ( it claims it helps). Do not see any difference with or without it. Also worth mentioning is 
Neutral,Positive,3.0,decent fliters for the price,"decent fliters for the price. not overly impressed perhaps because of the price they do not seem to last as long as others.

but if you do not mind replacing th"
Negative,Positive,2.0,Two Stars,Two Stars. Only fit the main range knob.  Don't fit the remaining 3.
Neutral,Positive,3.0,Just a bit short.,"Just a bit short.. Turns out, all I needed to do was turn on my Echo backpack blower and voila, no more obstruction.  I was able to almost get this to the end o"
Negative,Positive,2.0,Two Stars,Two Stars. Didn't fit properly and found water leaking from the bottom of my Samsung French door refrigerator.
Negative,Positive,1.0,The cycling thermostat last for five minutes despite the fact ...,The cycling thermostat last for five minutes despite the fact .... The cycling thermostat last for five minutes despite the fact I had replaced all parts relate
Positive,Negative,5.0,Much better than plastic,Much better than plastic. Will not crack like plastic
Negative,Positive,1.0,hope its safe,hope its safe. We have little white flakes in our water since we installed this
Positive,Negative,5.0,Does what it says,"Does what it says. It holds the drier on top, it keeps the washer on bottom.  does what it says.  I don't have a Samsung W/D, but my owner's manual pointed to t"
Positive,Negative,5.0,Buy it here.,"Buy it here.. Seriously, these are no better then any of the others, however I couldn't find them in the story anywhere the last few months of the winter.  Buy "
Neutral,Positive,3.0,... replacement about a month ago and seems to work fine so far,... replacement about a month ago and seems to work fine so far. Installed the first replacement about a month ago and seems to work fine so far. These filters 
Neutral,Positive,3.0,They cover the burners (meh),They cover the burners (meh). The price was right and they do the job. Not overly impressed with how they seem to leave streaks when cleaned. I have to go back 
Neutral,Positive,3.0,Fits so close to the dryer that it is impossible ...,Fits so close to the dryer that it is impossible .... Fits so close to the dryer that it is impossible to get the clamp screwed onto the vent and the dryer with
Neutral,Positive,3.0,Otherwise the produce works fine.,"Otherwise the produce works fine.. Beware, You can't vent out the right side of the dryer if you have a gas dryer. Otherwise the produce works fine."
Neutral,Negative,3.0,Missing piece....,"Missing piece..... Missing a piece of the anti slip strip. Not a huge deal, we can pick up some at the hardware store, but along with the other reviews missing "
Positive,Negative,5.0,Arrived Damaged,Arrived Damaged. Returned
Negative,Positive,1.0,Filter shipped san-packaging.,Filter shipped san-packaging.. The filters arrived in the shipping box without any additional packaging.  They are not even in a plastic bag.  You will need to 
Neutral,Negative,3.0,Three Stars,Three Stars. Leaks from water dispenser alot
Neutral,Positive,3.0,Three Stars,Three Stars. a bit noisey
Positive,Negative,4.0,Very loud,Very loud. I like it but it is very loud - louder than my 10 year old one! It does not dry as fast as I would like either but does work well.
Positive,Negative,5.0,Liked it so much I went ahead a bought two ...,Liked it so much I went ahead a bought two .... Bought one. Liked it so much I went ahead a bought two more .
Neutral,Positive,3.0,Good but not perfect.,"Good but not perfect.. The fit was not perfect, it did leak some water on the beginning. I had to put it in and out few times, before stopped."
Neutral,Positive,3.0,Three Stars,Three Stars. Getting pricey!
Negative,Positive,2.0,"Borderline ridiculous disposable quality, overpriced.","Borderline ridiculous disposable quality, overpriced.. Frame thinner and flimsier from a paper prototype it was based on. Internal fasteners only symbolic tags,"
Neutral,Positive,3.0,So So.,So So.. This is a tricky one.  When it's in the shade it reads the inaccurate temperature outside.  It will be a blazing 100 degrees but will read 85.  Be sure 
Neutral,Positive,3.0,"Seem to be good, but are they new?","Seem to be good, but are they new?. I was a little puzzled that even though they say to run 5 gallons of water through the filter before drinking, the first wat"
Negative,Neutral,2.0,Flimsy-But works,"Flimsy-But works. When I received the item, it was packaged in a regular manilla envelope. Needless to say, it was slightly bent when it was received. It is ver"
Neutral,Positive,3.0,Good,Good. Volumen of filtered water is not an accurate indicator of filter life. I have an inline filter ahead of the refrigerator and don't think I have to replace
Neutral,Negative,3.0,Three Stars,Three Stars. ge product is flimsy...but we really don't have choice.. and way too expensive for quality of material!
Positive,Negative,5.0,Good purchase,"Good purchase. The strips arrived quickly.  The silicone looks as if it wI'll stay in place nicely.  A different color option would be grand, but I got the blac"
Negative,Positive,1.0,... but it didn't seem to make the water taste better. When I removed the filter,... but it didn't seem to make the water taste better. When I removed the filter. It fit when I placed it in but it didn't seem to make the water taste better. 
Neutral,Positive,3.0,durable magic washer,"durable magic washer. The magic washer is efficient, economical, and durable.  I highly recommend this washer especially for college students as well as to be u"
Negative,Positive,1.0,Used Part :(,Used Part :(. I expected to see a new probe and was/am more than a little upset that the one I received is used.  We are installing it anyway in the hope that i
Negative,Neutral,1.0,Upgraded Vent Hose,Upgraded Vent Hose. Not a standard size- did not fit either my drier exhaust pipe or the wall exhaust pipe... it's a shame.
Neutral,Positive,3.0,Had to run a lot of water through it before use,Had to run a lot of water through it before use. Water was a bit purple until ran about a gallon of water through the filter.
Negative,Positive,2.0,Two Stars,Two Stars. ok
Neutral,Negative,3.0,I can't kill this thing,"I can't kill this thing. There are things I like about this thing and things I hate. First off it does what it should, washes small loads of clothes. It's been "
Neutral,Negative,3.0,Missing faucet hookups,Missing faucet hookups. Missing faucet hookups .... I paid more money for this one because it said it came with those.
Neutral,Negative,3.0,"nice, but....","nice, but..... the product is beautiful, but the box did not include any sort of warranty card or info, nor did it include seller contact info. i'd prefer to ha"
Negative,Positive,2.0,Two Stars,Two Stars. Nice idea; but the brush needs to be sturdier and it has almost no heat!
Neutral,Positive,3.0,"No instructions, but it worked.","No instructions, but it worked.. Here is how I repaired an old, leaky garbage disposal.

1. Removed old plate by unscrewing two screws.

2. Removed and threw aw"
Neutral,Negative,3.0,Three Stars,Three Stars. Didn't work for my setup
Positive,Negative,5.0,Make the switch!,Make the switch!. After years and years of paying double for grand name filters I made the switch! I tried on off brand filter awhile back from a big box store 
Positive,Negative,5.0,your optics are bad. Hilariously,"your optics are bad. Hilariously. Yup, that did it.

Tip: If you're not sure whether this is your problem, aim your mobile phone's camera at the emitter. You sh"
Neutral,Positive,3.0,It works great! I can taste a difference in the water ...,It works great! I can taste a difference in the water .... I ordered this water filter because of the price. It is about half the price of the filter for my ref
Neutral,Negative,3.0,"It was the wrong thing and I returned it, ...","It was the wrong thing and I returned it, .... It was the wrong thing and I returned it, but there was nothing wrong with it. I just didn't buy the correct prod"
Positive,Negative,5.0,Looks like a design change to improve this Latch Assembly,Looks like a design change to improve this Latch Assembly. Fit exactly the way it should.  The handle pivot points that broke on the original part have been cha
Neutral,Negative,3.0,Product fits - but should not fail before end-of-life on the dishwasher unless abused,Product fits - but should not fail before end-of-life on the dishwasher unless abused. After much back-and-forth over which basket to order (the number on the b
Negative,Positive,2.0,Two Stars,Two Stars. Would have given 1 star because the dryer does not spin but the heat works very well.
Neutral,Negative,3.0,"The part did work, but the plastic pieces were ...","The part did work, but the plastic pieces were .... The part did work, but the plastic pieces were to wide and we had to cut them down to fit into their slots."
Positive,Neutral,5.0,Five Stars,Five Stars. The fancy US version wouldn't seal but this will.
Positive,Negative,5.0,Backup,"Backup. Didn't use, keeping as a back up and will most likely put them in the disposal unit when we decide to sell the house."
Positive,Neutral,5.0,Five Stars,Five Stars. Didn't fit as snug as the original but still got the job done!
Neutral,Negative,3.0,I could only use the 2 small and one of ...,"I could only use the 2 small and one of .... I could only use the 2 small and one of the large, you should offer a choice as I have 3 small and one large on my "
Positive,Negative,5.0,Small,Small. I like this. Keep in mind it's small though. Thought it was big from the pictures. It's only about 4 inches squared.
Neutral,Positive,3.0,Three Stars,"Three Stars. although the adhesive is advertised as high heat. The tube warns user ""not to use around heat""."
Neutral,Negative,3.0,Stay Away From This Manufactuer,"Stay Away From This Manufactuer. I bought three same stoves allow them, had the same problems
Company refuse to replace them or fix the problem with the some bu"
Positive,Negative,4.0,... loads but I was able to fix it with super super super glue,... loads but I was able to fix it with super super super glue. One broke after a couple loads but I was able to fix it with super super super glue.
Neutral,Positive,3.0,Three Stars,"Three Stars. Nice Product! But could be more cheaper, price is too High."
Positive,Negative,5.0,much better than the plastic junk that came with the microwave,"much better than the plastic junk that came with the microwave. Solid metal handle, much better than the plastic junk that came with the microwave."
Positive,Negative,4.0,I'm happy with the colors and details,"I'm happy with the colors and details. Only wish these covers were deeper for our gas burners but they cover up enough. One cover is slightly bent, but useable."
Negative,Positive,1.0,Basically the legs were screws go inside were scratched against something hard like metal. Not sure how to tell that,Basically the legs were screws go inside were scratched against something hard like metal. Not sure how to tell that. Update: Fuse stopped to work after 3 month
Positive,Negative,5.0,I have good water pressure and the water taste good and it's ...,I have good water pressure and the water taste good and it's .... I went to Lowe's to buy a filter and was thrown back by the $50 price tag. No way I was paying
Positive,Negative,4.0,Not a bad lil guy,Not a bad lil guy. Many months later the lil guy is s I'll kicking. I thing on its original charge from the sat I got it. I use it on my laptop connected to my 
Positive,Neutral,4.0,GE GTH18GBD,GE GTH18GBD. We purchased this fridge one month ago from a brick and mortar electronic store that had a very good price on the unit.  I know people say it's lou
Neutral,Positive,3.0,Three Stars,Three Stars. Do not match the original color!
Positive,Negative,5.0,Five Stars,Five Stars. These last about a year and I use my humidifier 365 days a year.
Neutral,Positive,3.0,Seems to work for now - Included documentation is inaccurate,Seems to work for now - Included documentation is inaccurate. Installed the clutch last night and so far it seems to be working okay.  It came with a one-page d
Neutral,Negative,3.0,company do sent a return sticker since order was wrong ...,company do sent a return sticker since order was wrong .... company do sent a return sticker since order was wrong. but take a little time to reimburse my money
Neutral,Positive,3.0,Acceptable alternative,"Acceptable alternative. This product works on the Holmes humidifier, however the filter is backed with a metal mesh for support.  The filter fabric seems to dry"
Negative,Neutral,2.0,Two Stars,Two Stars. Very loud
Negative,Neutral,2.0,Two Stars,Two Stars. don't fit and fall off
Neutral,Negative,3.0,The product arrived intact and on time. I purchased ...,The product arrived intact and on time. I purchased .... The product arrived intact and on time.  I purchased three devices simultaneously to track temperature 
Positive,Negative,5.0,NewAir Has Great Customer Service,"NewAir Has Great Customer Service. This cooler is just what I was looking for. We have it under the counter, and it works great, keeps our beer and soda very co"
Negative,Positive,1.0,One Star,One Star. fixed my fridge for about 20 minutes. Fridge then would not come on at all.
Neutral,Positive,3.0,The usual crappy China quality but fits the immediate need,The usual crappy China quality but fits the immediate need. China quality but usable
Negative,Positive,1.0,Cartridge does not fit.,Cartridge does not fit.. This cartridge was not the right fit for my refrigerator.  The water did not taste fresh like the one purchased made in the USA.
Negative,Positive,1.0,not very good ice maker,not very good ice maker. it does not make separate ice it comes out as a block of ice if I wanted that I would just put a bowl of water in the freezer
Neutral,Negative,3.0,a bit disappointing,"a bit disappointing. Bought the vent cover because we had birds flying in and out of old vent.  This vent prevents birds from entering, but the outer frame cove"
Neutral,Positive,3.0,Three Stars,Three Stars. Not exactly form fitting.  They slide around a lot.
Negative,Positive,2.0,big BTU burner a let down,"big BTU burner a let down. we have had this range for a while now.  For the most part it is fine, but the big 18K BTU burner is a let down.  Even with a stock p"
Neutral,Negative,3.0,Faulty Filters,"Faulty Filters. Item was delivered quickly and replaced quickly for free.  However, this was a replacement filter for one I had ordered earlier.  Both filters c"
Negative,Positive,1.0,Eleanor review.,Eleanor review.. Installed per directions but the adhesives failed after about four months. The problem is that when the racks are pulled out from the dishwashe
Negative,Neutral,2.0,Two Stars,Two Stars. Flimsy. Doesn't have the blue wrapping as shown
Neutral,Negative,3.0,works,"works. This product works.  I had trouble because my stove was tighter on one side, so it did not fit in as well.  But that was not the products fault.  The onl"
Neutral,Positive,3.0,Usually a great filter,Usually a great filter. I have purchased several of see from this seller and always been happy with the product. This past purchase not so much. After installin
Negative,Positive,2.0,not  necessary to change filter as often as they say,"not  necessary to change filter as often as they say. You're better off just washing and re-using the mineral pad until it is really spent, or using distilled w"
Positive,Neutral,5.0,Make the switch today!,Make the switch today!. I'll never pay for the name brand again. The l differences I noticed is that the OEM had a circular hole for the water to enter and this
Positive,Negative,5.0,Thought Id go back to the actual stock quality filter ...,Thought Id go back to the actual stock quality filter .... Thought Id go back to the actual stock quality filter and WOW there is a difference. You get what you
Negative,Neutral,1.0,"Completely useless, for one the hose is not long enough ...","Completely useless, for one the hose is not long enough .... Completely useless, for one the hose is not long enough to get to the top of a standard dryer, and "
Negative,Positive,2.0,Get what you'll need at a hardware store.  Don't buy this.,Get what you'll need at a hardware store.  Don't buy this.. I purchased this to go along with my whole house humidifier cause Honeywell doesn't give you all the
Neutral,Positive,3.0,Thick and goopy I gave up the dishwasher rack use and used it on my in-sink dish drainer.,"Thick and goopy I gave up the dishwasher rack use and used it on my in-sink dish drainer.. Goopy and similar to very old, very thick nail polish, I realized it "
Negative,Positive,2.0,Two Stars,Two Stars. The filter was too long for my kitchenaid fridge. I'm using it but cannot put on the cover
Positive,Negative,5.0,Works Very Well!,Works Very Well!. I read a lot of reviews that said the thermometer and hygrometer were inaccurate. I tested the hygrometers for both the inside and outside uni
Negative,Positive,1.0,we ran the water for the recommended length of time,"we ran the water for the recommended length of time. Tried both filters in the set, but they both decreased the water speed by so much, that we had take them ou"
Neutral,Positive,3.0,"Fits, but Noisy","Fits, but Noisy. Part fit just fine.  Installation not for the faint of heart.  Pump is nosier than original pump, we'll see how long it lasts."
Negative,Neutral,1.0,"seems to be working fine, but feel like it's a used product instead ...","seems to be working fine, but feel like it's a used product instead .... I had seen some reviews that said it arrived scratched, but this was not only scratched"
Neutral,Negative,3.0,Excellent... while it lasted.,Excellent... while it lasted.. I purchased one from Target for $109 2 years ago.  All worked well until one day I noticed no ice... after examining the machine 
Negative,Positive,1.0,"oh, no striker plate with it? STUPID","oh, no striker plate with it? STUPID. Did NOT! Come with the striker plate cover, if needed your better off buying a different one that does.
Its common sense t"
Positive,Negative,4.0,"Great, except for one glitch","Great, except for one glitch. Possibly Frigidaire has remedied the issue by now, but ours would build up ice in the defrost drain tray and eventually require a "
Positive,Negative,5.0,DIY Maytag parts far better than so-callled extended warranty!!,DIY Maytag parts far better than so-callled extended warranty!!. Finally got my icemaker fixed.  The original one broke and the Maytag repairman put the wrong r
Neutral,Positive,3.0,The lights are great although we just had one burn out and they ...,"The lights are great although we just had one burn out and they .... Decent looking hood, not quite strong enough to really ventilate but works for light cookin"
Positive,Negative,4.0,Needs instructions,"Needs instructions. Requires you to wire it properly, which I had to look of the instructions, but it is a solid design."
Positive,Negative,4.0,"It had a bigger dent than the information said, ...","It had a bigger dent than the information said, .... It had a bigger dent than the information said , but we were abie to fix the bigger ones and hide the other"
Negative,Positive,1.0,Fit and worked perfectly. For the price it was ...,"Fit and worked perfectly. For the price it was .... I had rated this a 5 previously for the time and effort it saved. Worked great, now 3 months in and I am pas"
Neutral,Positive,3.0,"Extremely labor-intensive, and effective. Ties clothes in knots. High water and detergent usage. Incredible but fussy spinner.","Extremely labor-intensive, and effective. Ties clothes in knots. High water and detergent usage. Incredible but fussy spinner.. This appears to be identical to "
Positive,Neutral,4.0,Four Stars,Four Stars. Color was a little lighter but everything else was ok
Negative,Positive,1.0,Do not buy this.,Do not buy this.. The worst garbage disposal we have ever owned. Will not dispose of many things and we must constantly reach in and get things out and throw aw
Negative,Neutral,2.0,Very Hard to actually use.,"Very Hard to actually use.. The product  may work OK, but the packaging is terrible. It's virtually impossible to pour with out spilling. That's not a good thin"
Positive,Neutral,5.0,This is made well. High quallity. Not flimsy ...,This is made well. High quallity. Not flimsy .... This is made well.  High quallity.  Not flimsy.
Positive,Negative,5.0,Buy these bearings!,"Buy these bearings!. High quality product. Do not waste your time trying to save $30-$40. I bought the cheap bearings last year, and wish I would have bought th"
Neutral,Positive,3.0,Good Generic Alternative,"Good Generic Alternative. Worked as a good generic option to the OEM version which costs 40 a piece. This product does the job. At first installation, the water"
Negative,Positive,2.0,Water taste great though.,Water taste great though.. Either our ice maker is leaking or these filters leak. Water taste great though.
Negative,Positive,1.0,"Looks good, functions poorly","Looks good, functions poorly. Bought this because of all the high reviews.  Install was fairly quick and easy; it was a good match for the 30"" space, constructi"
Positive,Negative,5.0,"These can ""crank down"" on metal flex hoses.","These can ""crank down"" on metal flex hoses.. I just wanted something that could be tightened enough to actually seal the metal flex vent hoses.  The nylon clamp"
Neutral,Positive,3.0,safe plastics?,"safe plastics?. I don't own it, but I must say how hilarious it is to say its BPA free ""material"" without telling you what it is made of. How do we know it does"
Negative,Positive,2.0,Two Stars,Two Stars. Loose fit and continuously slides down the refrigerator doors.
Negative,Positive,1.0,Product does not have NSF certification,Product does not have NSF certification. I purchased a set of 3 water filters (the one to the right) with blue lid to replace the current real one in the right 
Positive,Neutral,5.0,"Works good, doesn't really make different sizes","Works good, doesn't really make different sizes. Works good, doesn't really make different sizes. I like it... Saves so much room in the fridge, but takes up a "
Negative,Positive,1.0,Worked fine for the first few minutes then after it cooled ...,Worked fine for the first few minutes then after it cooled .... Worked fine for the first few minutes then after it cooled off to around 35 outside the humidity
Neutral,Positive,3.0,Water filter,Water filter. Water tastes good however this is not equal to the Samsung original filter which removes more particulates  This filter only states the removal of
Positive,Negative,4.0,Range Kleen 680 Plastic Kleen Seam,"Range Kleen 680 Plastic Kleen Seam. Although it don't fit as well as I would have liked it to, It keeps food particles and liquids from getting between the stov"
Neutral,Positive,3.0,but I would have been better off with the Watts D60U kit,"but I would have been better off with the Watts D60U kit. You will need this for some dishwashers, but I would have been better off with the Watts D60U kit. Tha"
Negative,Positive,2.0,Two Stars,Two Stars. Our fridge was listed as one of the compatible models but it is too small
Neutral,Positive,3.0,Ok Fan,Ok Fan. My old Sears Kenmore top freezer refrigerator in the garage was squealing in the afternoon.  I located the loudest sequealing coming from the freezer co
Positive,Negative,5.0,Happy With Purchase,"Happy With Purchase. I saw other reviews that said they received a different relay than what is pictured, so I purchased the relay directly from Amazon and rece"
Neutral,Positive,3.0,Good quality and installed perfectly.,Good quality and installed perfectly.. Parts worked out perfect for the up-keep of my dryer.
Positive,Negative,5.0,No worries,No worries. No worries with this item. Decided to go with a genuine part because of increased/higher filtering standard certification.
Neutral,Negative,3.0,Ill only use whirlpoolwater filter.,"Ill only use whirlpoolwater filter.. Did not like this filter.  When we replaced the water filter with this, what looked like paper floated around in the water."
Negative,Positive,2.0,Perfect fit - but still expensive for what it is ...,Perfect fit - but still expensive for what it is .... Perfect fit - but still expensive for what it is - and because of the all plastic design is still suscepti
Negative,Positive,2.0,Little loose then original,Little loose then original. Little loose then original
Neutral,Positive,3.0,Fixed it with some supper glue and all better. Otherwise works great,Fixed it with some supper glue and all better. Otherwise works great. Cute sign. Only problem is the sign kept falling off the magnate onto the floor. Fixed it 
Negative,Positive,2.0,Two Stars,Two Stars. They are upside down...
Positive,Neutral,4.0,Four Stars,"Four Stars. I like this, but the ice cubes are a bit small. Even though they do look adorable lol."
Neutral,Positive,3.0,"Works well, but I find the screen to be very dark and hard to read.","Works well, but I find the screen to be very dark and hard to read.. Works well, but I find the screen background to be very dark and therefore hard to read the"
Neutral,Positive,3.0,Not what they going to be,Not what they going to be. Not what they going to be
Positive,Negative,5.0,Overall cooks and cleans well,"Overall cooks and cleans well. After more than a year of heavy use (we cook ever day), it is holding up nicely. The only thing I do not like is once the oven ge"
Neutral,Positive,3.0,Three Stars,"Three Stars. Probably would have been fine, but events overtook us and wound up sending it back."
Neutral,Positive,3.0,Not a a Whirlpool part,"Not a a Whirlpool part. I received the element quickly, but when I opened the box I noticed the heating element had no part number and was stamped only with the"
Negative,Neutral,2.0,Two Stars,Two Stars. Don't install lint mesh... it gets clogged withing a few weeks.
Neutral,Positive,3.0,Three Stars,Three Stars. Very thin material can crumple up if too much load is put on them. Second set!
Positive,Negative,5.0,Not right size,Not right size. One size does not fit all disherwashers. This was  not the right size. I have returned it.
Neutral,Positive,3.0,Great for hand washables too,"Great for hand washables too. OK, I am loving this nifty little machine, so glad I bought it. It is not difficult to use tho you can't set it and walk away, it "
Negative,Positive,2.0,Puddles,Puddles. We loved the look of this refrigerator.  The glass shelves are great and you can pack a ton of food/drinks into it.  We plugged it in on Wednesday and 
Positive,Negative,4.0,Finally I decided to keep it anyway since fortunately that side I see less often,Finally I decided to keep it anyway since fortunately that side I see less often. The item itself (sheet metal) arrived damaged on one side. One side is complet
Neutral,Positive,3.0,Three Stars,Three Stars. ok
Positive,Negative,4.0,As expected,As expected. Product was as expected and advertised. Did not end up needing or using and returned for refund.
